SUNNINGDALE-HILLTOP,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU957659,Long,-0.62547,Lat,51.38462,Elevation,260,ft,,,,,,,,,,,,,
Station no,241,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,2.69,1.8,3.75,1.4,3.28,1.42,2.13,1.98,1.72,0.83,4.33,4.58,,,
February,,,,,,,2.54,4.09,1.84,0.56,0.65,1.69,0.16,3.17,0.13,2.77,2.02,4.42,,,
March,,,,,,0.79,0.57,2.44,1.77,0.08,1.58,0.22,1.33,2.89,2.44,0.27,2.31,3.63,,,
April,,,,,,1.71,3.09,1.76,1.64,1.08,2.1,3.62,2.68,0.82,1.76,3.32,1.8,2.4,,,
May,,,,,,2.08,2.09,1.25,1.91,1.66,2.55,3.22,3.71,2.21,0.51,1.92,0.58,2.47,,,
June,,,,,,0,3.51,3.11,2.06,1.06,1.25,1.57,1.08,1.71,0.84,3.37,2.62,2.11,,,
July,,,,,,3.13,2,2.13,1.66,1.85,2.24,3.84,2.9,1.38,1.95,0.57,4.04,0.75,,,
August,,,,,,3.43,0.8,3.58,1.49,1.54,2.57,5.38,1.08,0.6,2.82,1.58,1.09,1.32,,,
September,,,,,,3.21,1.63,5.09,1.24,0.12,3.14,1.93,2.45,2.59,1.26,3.65,2.33,1.82,,,
October,,,,,,3.06,2.69,1.22,4.26,2.81,1.17,0.57,4.45,2.17,1.78,3.33,1.59,2.67,,,
November,,,,,,1.95,5.47,3.28,1.69,6.77,4.48,2.58,1.32,0.84,2.12,5.42,3.71,1.37,,,
December,,,,,,2.99,0.47,3.71,2.47,6.39,2.43,0.68,0.41,0.33,6.03,2.56,1.79,4.16,,,
Total,,,,,,,27.55,33.46,25.78,25.32,27.44,26.72,23.7,20.69,23.36,29.59,28.21,31.7,,,
,,,,,,,,,,,,,,,,,,,,,
Hilltop at top of hill but given elevation of 280ft about 20ft too high,,,,,,,,,,,,,,,,,,,,,
1934 Jan 1 Gauge moved 184 N Assume 184ft,,,,,,,,,,,,,,,,,,,,,
1938 Observer moved,,,,,,,,,,,,,,,,,,,,,
