FENCE HOUSES CHILTON MOOR,,,,,,,,,,,,
Grid ref,NZ322493,Long,-1.500190,Lat,54.837493,,,,,,,
Station no,RR6319,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.70,0.90,0.69,2.47,1.65,0.41,2.13,0.12,1.55,0.73,,
February,5.61,1.96,1.50,1.15,3.37,0.73,1.26,1.49,0.25,1.42,,
March,2.02,2.06,0.79,1.17,1.58,1.35,1.25,0.83,1.19,4.88,,
April,0.28,0.66,1.38,1.43,0.97,2.60,1.08,2.29,2.78,2.82,,
May,1.74,2.14,1.87,2.92,2.11,1.13,4.73,3.29,2.02,1.14,,
June,3.36,1.21,2.30,3.24,1.51,0.93,0.92,3.92,0.48,1.69,,
July,2.27,2.83,3.03,4.16,1.47,0.85,0.18,1.56,2.90,1.93,,
August,5.30,3.32,2.02,2.80,2.62,3.15,2.88,1.89,1.26,3.29,,
September,0.75,1.09,0.49,2.89,0.57,2.14,0.40,0.05,1.83,1.79,,
October,7.45,1.76,2.80,8.76,0.72,2.69,5.30,5.71,1.27,2.03,,
November,3.06,5.24,1.24,1.67,2.30,5.30,2.87,1.57,1.10,0.47,,
December,2.67,2.35,3.00,2.28,1.90,0.82,1.18,2.95,0.59,3.35,,
Total,37.21,25.52,21.11,34.94,20.77,22.10,24.18,25.67,17.22,25.54,,
Calc annual,37.21,25.52,21.11,34.94,20.77,22.10,24.18,25.67,17.22,25.54,,
Difference,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
