FENCE HOUSES CHILTON MOOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ322493,Long,-1.50019,Lat,54.837493,Elevation,186,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,2.7,0.9,0.69,2.47,1.65,0.41,2.13,0.12,1.55,0.73,2.53,1.62,3.14,4.64,2.17,2.14,0.5,,2.14,2.95,2.4,4.22,,,,,,,,,
February,5.61,1.96,1.5,1.15,3.37,0.73,1.26,1.49,0.25,1.42,1.75,0.91,2.23,0.61,1.15,2.42,2.16,,0.9,1.81,0.93,0.16,,,,,,,,,
March,2.02,2.06,0.79,1.17,1.58,1.35,1.25,0.83,1.19,4.88,0.6,2.06,1.94,2.47,1.25,1.88,3.89,,1.13,3.19,2.73,0.49,,,,,,,,,
April,0.28,0.66,1.38,1.43,0.97,2.6,1.08,2.29,2.78,2.82,1.61,1.21,0,3.03,0.36,0.4,1.24,,1.47,1.36,2.87,1.12,,,,,,,,,
May,1.74,2.14,1.87,2.92,2.11,1.13,4.73,3.29,2.02,1.14,2.17,0.48,2.47,2.47,1.01,1.87,2.01,,1.34,0.66,2.98,1.51,,,,,,,,,
June,3.36,1.21,2.3,3.24,1.51,0.93,0.92,3.92,0.48,1.69,2.14,4.29,4.35,1.05,4.31,0.45,1.88,,0.33,1.1,0.95,1.62,,,,,,,,,
July,2.27,2.83,3.03,4.16,1.47,0.85,0.18,1.56,2.9,1.93,2.5,0.48,2.97,0.77,2.62,2.73,2.05,,2.76,1.6,3.38,1.32,,,,,,,,,
August,5.3,3.32,2.02,2.8,2.62,3.15,2.88,1.89,1.26,3.29,2.71,2.04,4.66,1.59,1.45,2.08,3.77,,1.2,2.29,1.01,3.83,,,,,,,,,
September,0.75,1.09,0.49,2.89,0.57,2.14,0.4,0.05,1.83,1.79,0.54,1.74,2.03,2.55,1.68,1.12,1.05,,4.27,0.42,1.11,0.67,,,,,,,,,
October,7.45,1.76,2.8,8.76,0.72,2.69,5.3,5.71,1.27,2.03,3.32,2.26,2.88,2,1.96,1.48,2.25,,2.2,4.95,1.89,1.3,,,,,,,,,
November,3.06,5.24,1.24,1.67,2.3,5.3,2.87,1.57,1.1,0.47,3.34,3.59,1.65,0.95,4.94,1.32,3.62,,0.95,4.3,0.77,2.63,,,,,,,,,
December,2.67,2.35,3,2.28,1.9,0.82,1.18,2.95,0.59,3.35,1.94,3.09,1.21,0.45,3.25,5.47,2.97,,2.91,2.12,3.5,1.17,,,,,,,,,
Total,37.21,25.52,21.11,34.94,20.77,22.1,24.18,25.67,17.22,25.54,25.15,23.77,29.53,22.58,26.15,23.36,27.39,,21.6,26.75,24.52,20.04,,,,,,,,,
