PONTESBURY-THE-VILLA,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ395061,Long,-2.895688,Lat,52.649243,Elevation,350,ft.,,,,,,,,,,,,
Station no,RR2022,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,1.73,3.1,1.8,0.58,0.54,3.63,1.84,2.36,1.35,2.15,4.8,,,,
February,,,,,,3.33,0.94,0.93,0.5,1.14,0.58,0.08,1.47,3.02,1.93,0.2,,,,
March,,,,,,0.62,3.07,1.42,2.18,2.24,1.04,0.81,0.55,0.51,1.19,,,,,
April,,,,,,2.95,1.23,1.4,2.03,5.22,0.96,1.76,0.86,0.25,1.58,,,,,
May,,,,,,1.96,8.85,1.86,0.6,3.01,3.02,3.55,3,2.04,2.26,,,,,
June,,,,,,3.45,1.36,1.26,2.58,0.54,1.38,2.96,1.78,1.53,1.86,,,,,
July,,,,,,0.51,2.76,1.89,4.2,2.92,2.47,1.92,2.25,2.19,2.03,,,,,
August,,,,,,3.85,1.1,2.96,2.9,2.93,2.65,4.08,2.43,1.88,2.96,,,,,
September,,,,,,3.16,2.42,1.89,0.48,1.55,0.65,2.95,2.77,1.47,1.34,,,,,
October,,,,,,5.18,4.35,1.93,1.05,3.37,1.6,4.63,3.33,2.32,3.25,,,,,
November,,,,,,3.21,1.5,2.39,5.14,0.93,3.92,2.49,1.5,1.13,2.47,,,,,
December,,,,,,0.69,4,1.82,2.35,1.41,0.91,3.81,1.46,3.43,1.54,,,,,
Total,,,,,,30.64,34.68,21.55,24.59,25.8,22.81,30.88,23.76,21.12,24.56,,,,,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
NGR is 0.25 miles west of church and is South Villas. Altitudes match. Could be +/- 200 yards. Gauge moved in 1895,,,,,,,,,,,,,,,,,,,,
"Readings for Aug to Nov 1885 are noted as being corrected for ""wrong day""; readings left in the record",,,,,,,,,,,,,,,,,,,,
