DUROR (ACHADH NAN SGIATH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NM980557,Long,-5.296532,Lat,56.649375,Elevation,40,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5400/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,9.13,10.86,3.82,1.25,0.45,6.55,7.37,8.8,3.82,12.82,6.37,5.7,7.95,7.11,7.47,6.55,5.13,6.18,4.24,5.49,10.91,8.88,2.9,3.92
February,,,,,,,5,7.74,10.17,3.85,4.95,3.88,8.56,2.96,10.88,5.86,0.02,6.38,8.81,7.42,4.36,2.82,3.93,4.83,5.39,2.92,3.75,2.72,4.08,5.22
March,,,,,,,0.75,10.16,4.49,7.11,2.74,3.35,4.87,4.59,6.1,4.57,2.76,5.53,3.84,4.55,4.04,4.84,2.52,4.69,1.41,3.39,6.76,1.74,6.62,1.51
April,,,,,,,2.5,1.35,2.99,7.23,3.53,2.59,8.02,4.16,2.94,4,14.01,3.88,8.75,5.59,4.58,3.96,4.43,2.54,5.65,2.43,2.71,3.44,5.47,4.87
May,,,,,,,3.34,4.49,1.53,2.75,1.49,2.92,3.69,5.88,3.65,1.41,3.99,1.5,3.78,2.21,0.67,1.82,4.82,3.65,3.22,4.81,1.67,5.23,1.98,3.07
June,,,,,,,4.31,8.24,3.7,1.84,1.97,3.65,6.45,4.74,5.48,6.4,7.37,6.24,3.1,6.02,2.76,4.51,1,5.27,4.15,3.24,3.79,2.42,4.65,3.88
July,,,,,,,6.41,6.18,6.5,6.27,6.9,6.16,4.33,2.39,4.5,6.23,5.11,5.82,2.19,7.85,4.99,3.69,6.63,4.32,1.19,5.58,5.16,3.03,7.91,5.68
August,,,,,,,4.13,3.4,2.75,4.24,6.86,8.27,8.56,3.98,2.33,6.51,0,5.97,7.05,6.66,5.64,6.32,6.93,4.9,1.85,4.09,5.08,5.49,4.57,5.14
September,,,,,,,7,4.41,2.03,5.21,3.03,10.61,6.67,6.3,7.28,8.99,8.7,10.3,3.69,10.33,5.93,3.97,8.26,10.09,7.92,5.97,3.61,6.27,2.88,3.86
October,,,,,,,2.8,11.67,1.81,7.89,6.4,9.95,14.59,8.46,5.38,0.37,3.59,8.82,11.71,8.44,2.75,7.08,5.14,13.22,7.06,5.96,10.84,9.87,7.28,1.78
November,,,,,,,1.17,12.7,11.46,9.08,6.74,3.37,5.48,8.95,0.49,5.23,10.15,5.42,7.7,5.51,6.39,3.69,11.47,10.59,2.51,6.74,2.53,2.48,9.34,6.82
December,,,,,,,3.1,7.71,4.67,10.37,6.32,13.39,6.55,7.18,6.17,7.61,2.37,10.23,14.14,3.28,11.67,7.49,7.74,12.11,9.09,10.83,9.3,5.49,10.24,8.97
Total,,,,,,,49.64,88.91,55.92,67.09,51.38,74.69,85.14,68.39,59.02,70,64.44,75.79,82.71,74.97,61.25,56.74,68,82.39,53.68,61.45,66.11,57.06,67.92,54.72
