"DUROR, THE RECTORY",,,,,,,,,,,,
Grid ref,,Long,NaN,Lat,NaN,,,,,,,
Station no,5400/4,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,8.71,,
February,,,,,,,,,,4.93,,
March,,,,,,,,,,0.80,,
April,,,,,,,,,,4.22,,
May,,,,,,,,,,4.09,,
June,,,,,,,,,,1.41,,
July,,,,,,,,,,5.23,,
August,,,,,,,,,,5.60,,
September,,,,,,,,,,3.36,,
October,,,,,,,,,,10.19,,
November,,,,,,,,,,6.95,,
December,,,,,,,,,,7.12,,
Total,,,,,,,,,,62.61,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.61,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
