"DUROR, THE RECTORY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NM 99393 55328,Long,-5.273566,Lat,56.646633,Elevation,120,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5400/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,8.71,9.61,6.75,6.17,6.99,8.32,9.03,11.94,3.33,9.6,5.69,11.46,14.72,5.63,11.41,7.99,7.32,12.44,13.7,17.89,,
February,,,,,,,,,,4.93,9.77,9.52,5.14,6.75,12.45,9.15,9.16,1.43,13.61,0.9,14.13,4.2,11.87,6.6,2.64,7.38,5.91,4.86,6.96,,
March,,,,,,,,,,0.8,4.97,3.4,7.28,11.72,6.31,5.62,1.91,3.58,2.72,3.95,9.67,12.18,3.27,2.8,0.34,3.68,6.16,5.03,6.49,,
April,,,,,,,,,,4.22,6.79,6.99,5.35,6.69,6.74,7.08,5.24,3.32,1.31,7.86,3.06,2.44,2.34,3.69,4.33,7.25,4.51,8.09,3.88,,
May,,,,,,,,,,4.09,4.2,4.46,3.49,5.78,2.98,0.84,4.67,3.13,3.35,1.5,7.36,5.79,10.83,2.96,4.51,10.58,3.39,3.39,1.12,,
June,,,,,,,,,,1.41,1.85,4.36,6.28,6.17,2.87,1.57,3,4.22,3.01,8.14,5.07,1.79,5.68,4.32,4.93,2.42,3.05,6.42,5.63,,
July,,,,,,,,,,5.23,5.58,6.07,4.06,0.86,2.54,5.1,2.97,2.96,6.42,1.98,5.46,5.88,5.09,8.42,7.75,3.82,4.96,4.02,6.2,,
August,,,,,,,,,,5.6,8.31,6.66,3.43,2.5,7.58,3.23,5.47,7.47,6.56,5.44,4.5,4.7,4.89,7.76,5.86,4.95,6.97,6.09,5.52,,
September,,,,,,,,,,3.36,2.85,6.03,4.21,2.89,4.85,2.15,3.11,7.49,7.85,9.03,4.94,4.68,3.06,10.04,9.5,3.72,5.86,6.77,5.57,,
October,,,,,,,,,,10.19,3.4,4.07,8.56,6.62,2.79,2.64,13.76,14.96,10.9,3.94,3.23,10.27,5.57,13.75,5.5,6.56,7.95,7.13,10.38,,
November,,,,,,,,,,6.95,5.29,10.11,7.63,12.86,10.55,3.5,10.73,13.17,9.16,6.17,9.88,3.54,5.89,6.9,6.56,1.39,8.58,6.94,12.18,,
December,,,,,,,,,,7.12,8.19,12.14,23.34,8.35,12.37,8.36,6.93,4.44,9.74,9.59,7.71,11.51,9.54,8.22,15.03,7.28,6.67,0.54,9.13,,
Total,,,,,,,,,,62.61,70.81,80.56,84.94,78.18,80.35,58.27,78.89,69.5,84.23,64.19,86.47,81.7,73.66,86.87,74.94,66.35,76.45,72.98,90.95,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You have clicked on:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brit Nat Grid Ref: NM 99393 55328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BNG Eastings, Northings: 199393, 755328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Latitude, Longitude: 56.646633,-5.273566",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Click text above to select, or",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy to Clipboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
