"DUROR, ACHARA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NM 99825 54970,Long,-5.266249,Lat,56.643613,Elevation,45,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5400/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,9.48,5.96,10.78,13.67,4.99,10.5,7.42,7.32,11.01,11.58,16.1,2.86,16.73,8.14,15.08,10.04,13.66,4.92,2.44,9.35,9.77,,
February,,,,,,,,,11.98,0.86,13.33,3.55,10.12,5.75,2.45,6.28,5.41,4.75,5.91,2.57,0.56,8.24,0.17,5.9,2.19,8.11,3.24,4.51,7.53,,
March,,,,,,,,,2.95,3.58,8.56,11.3,3.27,2.57,0.44,3.4,5.88,4.56,7.03,1.42,6.11,1.4,4.79,4.68,3.73,3.37,2.51,0.87,8.64,,
April,,,,,,,,,1.63,6.8,2.84,2.39,2.38,3.5,3.93,6.64,4.53,6.83,3.5,1.22,2.63,2.95,5.49,5.42,4.65,2.96,1.62,2.19,1.19,,
May,,,,,,,,,3.28,1.27,7.32,6.1,9.7,2.85,3.49,10.33,3.44,2.89,0.98,5.64,5.63,5.15,4.33,2.63,5.76,0.64,2.61,3.28,3.25,,
June,,,,,,,,,3.17,7.68,4.02,1.38,5.38,4.34,4.57,2.3,2.82,6.17,5.6,4.27,7.02,7.47,1.57,3.56,2.18,3.75,2.76,4.38,8.65,,
July,,,,,,,,,5.81,1.65,4.2,5.58,5.54,7.85,7.99,3.61,4.72,4,5.44,6.01,3.29,6.42,7.04,4.38,5.62,3.4,5.8,5.39,6.63,,
August,,,,,,,,,6.44,4.89,5,4.48,4.72,7.98,6.04,4.35,6.57,5.89,5.22,9.73,9.97,1.66,4.98,7.23,7.39,5.35,4.71,3.84,4.06,,
September,,,,,,,,,7.46,8.32,4.77,4.12,2.71,9.72,9.28,3.19,5.31,5.69,5.46,4.67,4.98,2.45,7.72,1.64,11.16,7.22,3.42,7.57,3.73,,
October,,,,,,,,,10.42,4.05,3.08,9.68,5.27,14.13,5.23,5.98,7.6,6.38,9.34,12.09,10.9,7.97,10.16,6.82,12.45,9.11,6.94,2.85,,,
November,,,,,,,,,9.33,6.17,8.6,3.16,5.72,6.69,6.12,1.06,7.78,7.33,11.18,11.49,9.99,11.45,12.02,3.35,2.2,5.05,4.02,0.75,,,
December,,,,,,,,,9.88,9.43,7.58,10.92,8.87,7.85,14.35,6.24,5.79,0.43,8.62,15.84,8.87,10.18,10.89,2.62,9.13,3.97,10.37,2.55,,,
Total,,,,,,,,,81.83,60.66,80.08,76.33,68.67,83.73,71.31,60.7,70.86,66.5,84.38,77.81,86.68,73.48,84.24,58.27,80.12,57.85,50.44,47.53,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919 May corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
