"DUROR (ACHADH NAN SGIATH)",,,,,,,,,,,,
Grid ref,NM980557,Long,-5.296532,Lat,56.649375,,,,,,,
Station no,5400/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.47,6.55,5.13,6.18,4.24,5.49,10.91,8.88,2.90,3.92,,
February,4.36,2.82,3.93,4.83,5.39,2.92,3.75,2.72,4.08,5.22,,
March,4.04,4.84,2.52,4.69,1.41,3.39,6.76,1.74,6.62,1.51,,
April,4.58,3.96,4.43,2.54,5.65,2.43,2.71,3.44,5.47,4.87,,
May,0.67,1.82,4.82,3.65,3.22,4.81,1.67,5.23,1.98,3.07,,
June,2.76,4.51,1.00,5.27,4.15,3.24,3.79,2.42,4.65,3.88,,
July,4.99,3.69,6.63,4.32,1.19,5.58,5.16,3.03,7.91,5.68,,
August,5.64,6.32,6.93,4.90,1.85,4.09,5.08,5.49,4.57,5.14,,
September,5.93,3.97,8.26,10.09,7.92,5.97,3.61,6.27,2.88,3.86,,
October,2.75,7.08,5.14,13.22,7.06,5.96,10.84,9.87,7.28,1.78,,
November,6.39,3.69,11.47,10.59,2.51,6.74,2.53,2.48,9.34,6.82,,
December,11.67,7.49,7.74,12.11,9.09,10.83,9.30,5.49,10.24,8.97,,
Total,61.25,56.74,68.00,82.39,53.68,61.45,66.11,57.06,67.92,54.72,,
Calc annual,61.25,56.74,68.00,82.39,53.68,61.45,66.11,57.06,67.92,54.72,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
