ERWARTON-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TM222351,Long,1.233423,Lat,51.969931,Elevation,75,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,0.96,3.96,1.65,2.28,0.48,1.82,1.15,2.07,1.53,1.61,2.49,1.78,0.7,0.66,2.14,1.56,0.7,2.1,1.92,1.74,1.42,2.64,0.81,1.82,2.84,0.61,0.66,2.12,2.62,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,2.29,2.09,1.16,3.23,1.65,2.36,0.69,2.21,1.17,2.23,0.13,0.5,2.12,1.79,0.74,0.22,2.51,2.94,1.07,0.3,0.61,2.25,0.81,1.41,3.5,1.21,0.79,0.55,2.33,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,2.7,2.55,1.4,1.03,0.48,1.95,1.81,1.44,1.23,1.18,1.4,1.31,3.62,1.67,1.74,1.43,1.64,0.33,1.09,1.33,2.87,3.13,2.24,0.94,0.76,1.65,1.15,1.75,2.05,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,1.22,2.43,1.35,2.53,2.03,0.99,2.74,0.94,1.34,1.13,1.63,1.67,1.58,1.77,0.84,0.9,2.05,0.12,2.4,0.67,0.93,1.67,1.41,1.98,1.08,1.68,0.98,2.27,1.03,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,1.43,1.68,4.82,1.71,0.28,1.09,1.53,1.67,0.4,2.99,2.23,1.67,0.95,3.45,1.4,1.81,1.41,2.06,2.49,0.36,0.56,0.44,2.77,2.22,1,1.24,3.08,2.88,2.32,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,1.74,1.01,1.13,2.96,1.82,1.69,2.24,2.85,1.53,1.08,0.22,0.43,1.48,2.44,1.48,1.17,4.78,0.8,2.43,0.5,2.59,2.24,2.52,1.58,3.26,1.32,4.2,3.73,1.14,4.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,0.39,2.54,0.62,4.23,3.66,1.1,2.78,2,1.91,1.5,3.08,1.16,3.45,2.44,3.83,2.23,1.36,3.26,3.7,3.65,0.73,0.62,1.5,2.26,1.29,1.28,1.95,4.66,1.89,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,0.96,3.13,2.38,3.45,1.39,3.34,1.72,0.94,0.88,0.78,2.87,1.86,2.18,2.81,2.26,3,4.78,2.16,3.72,1.72,3.35,1.82,1.32,0.42,2.65,1.75,2.47,3.7,1.76,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,3.64,0.95,1.61,3.16,2.65,2.97,3.06,2.61,4.06,5.85,0.98,1.96,1.09,1.67,1,1.37,1.8,1.45,1.17,0.98,3.84,2.67,0.19,2.46,0.47,0.99,1.71,2.09,1.69,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,1.42,1.95,1.58,1.2,4.08,3.47,4.68,2.16,2.39,3.85,1.81,2.48,1.12,4.41,1.06,4.41,6.67,2.22,2.59,2.85,2.63,0.41,1.86,1.91,2.32,2.02,2.34,3.9,1.19,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,3.25,3.73,3.95,1.51,2.63,1.48,2.83,2.65,0.68,2.71,3.07,3.82,3.68,1.19,3.28,1.56,2.3,3.45,2.76,2.33,1.22,1.12,2.49,3.2,1.85,1.18,1.75,2.62,1.5,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,4.15,2.79,1.22,0.52,2.2,3.34,2.81,1.85,2.47,1.18,3.55,1.35,1.3,1.43,0.58,2.99,1.37,2.1,1.91,1.73,2.74,1.87,2.34,1.39,2.6,3.94,1.56,1.27,2.66,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,24.15,28.81,22.87,27.81,23.35,25.6,28.04,23.39,19.59,26.09,23.46,19.99,23.27,25.73,20.35,22.65,31.37,22.99,27.25,18.16,23.49,20.88,20.26,21.59,23.62,18.87,22.64,31.54,22.18,22.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
