AFTON RES (ALWHAT BURN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS642029,Long,-4.140641,Lat,55.301409,Elevation,1435,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5273/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,17.42,11.17,15.3,5.5,9.2,17.8,13.9,9.3,1.9,2.8,8.5,12.8,10.3,6.1,12.1,8.9,12.75,7.1,6.4,8.3,8.7,4.1,7.95,7.6,5.65,,,,
February,,0.19,7.27,1.4,11.4,4.7,10,8.1,11.5,4.5,8.4,3.5,7.3,4.2,12.6,5.5,1.2,8,8,7.8,7.6,3.31,2.85,7.1,2.95,2.15,,,,
March,,4.88,4.96,5.1,4.5,6.4,6.3,7.3,9.9,9.8,5,8.4,3.6,1.4,5.5,4.3,7.4,6.95,3.8,7.6,6.3,5.15,1.2,5.85,3.24,3.95,,,,
April,,7.11,4.74,7,6.2,2.3,4.9,1.5,4.9,3.8,3.6,6,6.5,5.6,4.1,3,12.1,4.4,9.25,6.85,4.9,5.1,4.7,2.9,4.77,2.65,,,,
May,,5.05,5.55,7.5,1.3,3.1,3.4,9.2,1.7,2.1,6.3,6.1,7.1,4.7,6.6,1.7,6.7,2.5,3.45,3,3.2,3.84,4.5,7.1,5.85,3.7,,,,
June,,3.89,4.86,3.25,9.8,3.7,6.1,12.2,6.9,2.4,2,1.8,8.6,6.5,7.4,5.9,7.7,8.6,1.8,5.9,3.1,4.9,3.4,6.9,4.95,7.6,,,,
July,,8.88,9.69,5.2,4.8,9.5,9,10.8,8.8,7.3,5,7.3,3.7,6.3,6.1,6.8,6.7,5.5,2.8,9.6,4.04,6.6,7.1,7.6,3.25,8.6,,,,
August,,3.3,5.3,9,2.7,6.7,5.2,6.6,2.3,4.5,10.3,11.5,10.1,5.4,2.6,6.2,0.2,10.15,6.4,9.85,13.1,6.75,6.1,7.2,2.85,11.6,,,,
September,,9.45,1.9,13.3,10.8,8.8,6,8.7,3.8,8.8,6.5,9.2,5.3,8.3,10.8,12.8,8.5,11.2,3.45,18,8.75,4.2,10,13.4,8.05,7.9,,,,
October,,12.31,5.5,15.5,15.5,10,6.7,15.7,5.7,9.6,7.8,11.4,15.7,8.8,8.3,1.3,3.6,7.9,10.4,7.75,1.6,7.7,6.9,13.4,5.85,5.65,,,,
November,,6.58,3.3,3,10.7,8.9,2,16,15.7,11,11.2,2.8,6.6,11.4,1.2,13.5,10.15,6.4,11.7,5.95,16.9,4.2,10.85,14.1,5.05,3.7,,,,
December,,17.88,3.6,18.9,8.3,14.1,5.1,8.6,5.8,12.6,5.7,15.3,5.1,11.1,8.2,8.5,5,12.5,14.2,4.4,13.9,7.6,8,11.35,12.2,11.4,,,,
Total,,96.94,67.84,104.45,91.5,87.4,82.5,118.6,86.3,78.3,74.6,91.8,92.4,84,79.5,81.6,78.15,96.85,82.35,93.1,91.69,68.05,69.7,104.85,66.61,74.55,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5273/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,13196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd stn,620145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
