AFTON RESERVOIR (ALWHAT BURN) NO. 2,,,,,,,,,,
Grid ref,NS642029,Long,-4.140641,Lat,55.301409,Elevation,1435,ft,,
Station no,5273/4/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,8.75,5.95,11.15,11.6,5.15,8.9
February,,,,,3,2.35,6.95,8.1,3.55,9.65
March,,,,,4.16,4.45,8.75,2.75,6.7,3.1
April,,,,,5.02,2.85,4.65,3.3,6.9,8.2
May,,,,,6.25,4.25,5.4,4.95,2.5,3.35
June,,,,,5.3,7.95,2.85,5.8,4.2,6.1
July,,,,,5.2,9.3,7.55,6.05,9.1,6.5
August,,,,,2.95,12,8.6,7.8,2.85,5.2
September,,,,,8.05,8.65,6.25,9.3,2.95,6.4
October,,,,,6.8,6.05,8.25,6.7,10.25,6.25
November,,,,,5.6,4.1,4.3,4.05,13.65,15.3
December,,,,,12.95,12.3,9.65,8.95,16.1,9.15
Total,,,,,74.03,80.2,84.35,79.35,83.9,88.1
,,,,,,,,,,
Station no,5273/4/1,,,,,,,,,
Midas,13196,,,,,,,,,
Hyd Stn,620146,,,,,,,,,
