"COLT CRAG RESERVOIR",,,,,,,,,,,,
Grid ref,NY929784,Long,-2.112803,Lat,55.099967,,,,,,,
Station no,3577,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.17,3.17,1.16,2.94,3.04,3.33,2.90,1.68,1.88,4.29,,
February,2.03,0.53,1.88,1.79,2.80,2.48,2.66,4.06,0.74,2.18,,
March,3.40,2.08,0.62,1.32,1.77,0.96,2.44,3.08,1.04,2.10,,
April,2.18,2.08,3.28,0.85,0.93,0.86,0.82,2.05,2.22,1.48,,
May,3.26,1.50,2.08,4.38,2.18,0.52,1.56,3.50,0.45,2.17,,
June,1.24,1.74,1.89,1.86,2.22,4.29,1.77,3.08,3.02,0.71,,
July,2.27,1.91,2.68,3.24,1.67,2.48,3.66,4.69,2.94,4.70,,
August,5.34,3.27,3.36,5.09,1.07,7.84,4.18,3.40,0.50,2.71,,
September,1.37,3.24,4.50,5.28,2.06,2.96,3.50,2.86,0.83,1.62,,
October,1.10,2.71,1.06,6.01,1.66,2.31,2.51,2.19,2.49,5.87,,
November,6.69,3.22,2.12,3.00,1.36,1.08,2.05,1.06,5.45,3.80,,
December,2.03,3.39,1.75,2.90,3.88,2.22,1.92,3.78,4.39,3.23,,
Total,33.08,28.84,26.38,38.66,24.64,31.33,29.97,35.43,25.95,34.86,,
Calc annual,33.08,28.84,26.38,38.66,24.64,31.33,29.97,35.43,25.95,34.86,,
Difference,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
