MANCHESTER-SALE,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ806923,Long,-2.2934233,Lat,53.42713,Elevation,80,ft.,,,,,,,,,,,,
Station no,RR2960,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,0.91,2.5,3.04,1.72,1.8,3.38,0.48,,,,,,,,
February,,,,,,1.22,3.06,1.56,0.16,2.3,0.9,2.12,,,,,,,,
March,,,,,,2.07,0.22,2.29,2.3,3.7,3.09,4.4,,,,,,,,
April,,,,,,1.1,2.53,2.74,2.62,3.18,1.05,1.58,,,,,,,,
May,,,,,,1.71,3.07,2.35,2.09,0.38,2.53,0.86,,,,,,,,
June,,,,,,3.75,2.73,2.84,3.18,2.22,6.46,2.23,,,,,,,,
July,,,,,,3.69,3.07,4.23,2.41,1.61,2.02,4.02,,,,,,,,
August,,,,,,3.99,4.19,4.89,3.9,5.59,5.45,2.44,,,,,,,,
September,,,,,,1.03,3.04,3,3.28,4.36,2.42,4.07,,,,,,,,
October,,,,,,5.21,2.62,1.84,4.22,2.59,3.34,1.14,,,,,,,,
November,,,,,,0.68,3.76,1.62,1.39,2.88,2.38,3.49,,,,,,,,
December,,,,,,1.07,3.43,1.54,3.26,2.48,3.22,1.75,,,,,,,,
Total,,,,,,26.43,34.22,31.94,30.53,33.09,36.24,28.58,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is Old Hall near Sale where Mathew Curtis lived in 1861. The observer is John Curtis, assumed to be Mathew's son, and John married in 1862 when observations ceased. The stated altitude of 134 ft is 50 ft. higher the the Sale area. NGR could be +/- 1km or more.",,,,,,,,,,,,,,,,,,,,
