"WORKSOP HODSOCK PRIORY",,,,,,,,,,,,
Grid ref,SK612853,Long,-1.081859,Lat,53.361041,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.93,1.08,0.84,2.25,1.96,0.53,2.91,0.75,1.02,1.12,,
February,3.94,1.03,1.41,0.95,3.23,0.73,1.96,1.47,1.41,0.55,,
March,0.65,1.90,1.61,2.58,1.72,1.97,1.28,1.38,2.80,3.23,,
April,1.14,1.26,2.27,1.12,1.18,1.74,0.62,1.70,1.95,1.52,,
May,1.72,1.03,2.72,2.49,1.96,0.42,1.38,2.91,1.99,1.40,,
June,1.57,1.66,1.13,1.29,0.37,2.41,2.15,2.16,1.60,3.08,,
July,1.75,3.05,1.62,2.20,2.23,1.31,0.44,1.43,2.44,3.57,,
August,4.57,1.59,3.94,5.01,3.45,2.43,1.46,1.72,2.14,3.07,,
September,1.28,0.69,1.05,2.84,1.21,1.21,0.97,0.51,1.80,2.25,,
October,2.62,1.54,2.16,4.88,0.32,1.17,5.01,5.35,0.67,2.52,,
November,1.93,2.43,1.58,1.41,0.98,2.56,2.72,1.91,1.20,0.27,,
December,3.00,5.05,1.77,0.93,1.20,0.43,2.53,2.37,1.36,5.25,,
Total,27.10,22.31,22.10,27.95,19.81,16.91,23.43,23.66,20.38,27.83,,
Calc annual,27.10,22.31,22.10,27.95,19.81,16.91,23.43,23.66,20.38,27.83,,
Difference,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
