WHITEHAVEN IRISH STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX972179,Long,-3.590675,Lat,54.54588,Elevation,21,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,1.06,2.88,7.7,6.99,5.18,6.28,2.47,8.28,4.26,2.31,1.48,0.82,3.54,6.52,5.49,2.97,3.17,3.12,1.69,2.44,5.58,2.72,3.01,1.89,3.42,1.77,2.6,0.76,2.86,5.83,6.37,2.58,3.23,4.02,4.31,1.93,4.36,1.57,4.08,2.84,4.2,2.29,3.08,3.96,3.19,4.36,4.05,2.51,4.29,5.86,5.95,6.77,3.91,3.58,5.06,4.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,3.1,3.91,4.47,0.76,4.25,1.91,3.66,3.07,2.11,2.68,3.67,4.44,3.35,3.62,4.97,6.62,1.97,2.42,1.31,2.67,0.72,0.4,0.76,5.46,4.41,0.51,1.8,1.68,3.55,3.37,4.77,1.87,1.6,3.93,3.05,2.39,3.03,2.36,2.42,1.91,6.9,4.52,2.72,2.26,4.89,7.87,4.4,1.43,4.35,0.62,3.02,0.27,4.43,6.02,0.54,5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,3.1,2.91,5.17,4.1,2.66,1.23,3.24,2.57,2.39,1.98,1.54,3.36,2.46,1.47,4.46,3.32,4.31,1.1,2.36,2.18,2.72,1.92,1.74,1.47,1.65,4.36,4.24,5.15,1,2.56,0.67,2.03,2.13,5.85,3.54,4.14,2.33,4.2,3.6,4.03,3.9,1.08,5.15,5.14,4.3,2.15,1.4,1.66,2.07,4.81,5.93,5.7,2.05,2.01,1.05,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,1.54,2.74,2.37,0.51,3.17,1.68,2.87,2.55,1.82,1.12,2.92,1.02,3.48,2.34,1.57,4.15,2.35,3.29,1.93,1.96,1.47,1.62,1.35,0.92,2.3,4.39,2.13,2.42,3.76,3.51,2.21,3.53,1.75,1.74,2.81,4.01,1.22,3.69,1.96,3.5,2.48,3.51,0.73,4.28,1.12,3.32,2.78,2.13,0.98,3.19,4.4,2.4,2.71,4.13,2.31,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,2.69,1,1.9,2.3,0.94,2.39,0.15,3.23,2.7,2.16,1.75,3.18,2.97,1.6,2.64,2.08,6.77,1.82,1.81,2.51,3.09,1.63,4.61,2.71,4.23,0.33,0.53,2.3,3.3,4.31,3.18,2.07,2.46,3.11,3.26,3.23,5.99,3.99,2.54,2.25,2.31,3.15,2.35,4.89,2.48,1.24,3.73,4.02,2.44,1.16,4.61,3.27,3.65,1.75,4.78,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,2.37,1.67,6.11,2.04,0.46,4.32,3.93,3.86,2.15,3.29,1.18,4.91,4.19,3.68,0.46,1.36,1.28,0.86,1.03,1.13,4.81,1.38,3.23,2.35,3.83,1.19,2.83,4.45,2.08,3.16,3.36,2.69,1.58,2.1,1.62,2.34,2.12,7.72,2.88,3.1,1.71,4.43,5.66,2.42,1.23,1.46,3.13,2.07,1.7,3.11,2.48,0.5,2.56,1.37,3.27,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,1.13,3.37,3.73,4.69,1.88,3.26,2.28,4.05,0.83,5.88,3.63,3.47,7.84,2.31,4.33,3.24,4.47,3.49,6,2.48,3.13,1.6,2.33,3.58,4.16,5.06,5.42,1.53,0.51,4.05,1.73,1.1,3.18,4.76,2.91,2.31,2.26,2.64,3.38,5.6,4.09,0.95,3.75,0.66,5.04,5.98,3.11,1.3,3.37,1,5.26,3.63,6.55,4.3,4.48,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,1.09,3.47,3.34,4.49,6.12,2.8,4.32,5.9,4.22,5.41,0.99,4.02,3.17,4.8,2.67,1.79,2.68,0.92,2.57,5.21,5.1,8.75,7.9,5.78,4.83,5.65,3.41,4.64,6.17,1.64,6.76,4.74,3.56,4.12,5.28,3.31,5.77,4.97,3.63,2.48,6.87,2.36,5.49,2.71,3.96,2.73,2.57,8.05,4.27,2.97,4.94,8.42,5.04,8.91,4.34,4.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,4.61,1.66,5.37,1.9,4.48,5.14,4.86,3.34,4.12,5.02,4.87,2.95,3.63,3.94,3.23,7.7,5.3,4.35,1.32,2.6,4.43,5.97,5.64,2.9,0.42,1.54,4.32,2.27,2.78,4.66,3.17,3.33,2.09,5.53,3.36,2.69,1.46,0.95,5.29,3.23,0.62,3.27,1.41,3.1,1.97,1.84,2.96,4.08,10.22,4.41,3.09,2.11,2.41,6.29,6.1,3.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,8.29,4.8,8,7.34,7.45,4.77,4.38,8.08,4.11,2.17,1.12,1.87,3.61,3.73,3.87,4.02,4.02,3.06,4.97,3.66,2.36,8.54,4.44,4.86,4.52,5.06,6.92,2.75,3.65,3.12,5.34,6.23,3.89,9.29,2.58,3.37,5.78,10.24,1.95,9.76,2.4,3.77,4.5,4.79,2.23,2.27,6.93,6.82,5.98,2.41,2.14,3.21,2.71,8.64,4.77,6.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
