KETTERING-LONDON-ROAD (PIPERS HILL ROAD),,,,,,,,,,
Grid ref,SP875779,Long,-0.71559906,Lat,52.39214,Elevation,240,ft,,
Station no,1123/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.08,,,,,,
February,,,,2.86,,,,,,
March,,,,2.77,,,,,,
April,,,,0.43,,,,,,
May,,,1.52,3,,,,,,
June,,,2.71,2.28,,,,,,
July,,,2.38,2.86,,,,,,
August,,,2.5,5.45,,,,,,
September,,,,2.19,,,,,,
October,,,2.17,2.54,,,,,,
November,,,1.86,5.07,,,,,,
December,,,0.61,2.8,,,,,,
Total,,,,33.33,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1952 Gauge moved,,,,,,,,,,
1955 Gauge moved,,,,,,,,,,
