"GRASSHOLME RESERVOIR [MIDDLETON]",,,,,,,,,,,,
Grid ref,NY919212,Long,-2.126848,Lat,54.585931,,,,,,,
Station no,3498,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,2.76,6.63,4.39,1.77,5.31,2.40,2.65,3.24,,
February,,,1.15,5.88,3.14,2.20,2.22,3.01,4.59,3.51,,
March,,,2.55,5.78,2.68,2.98,3.03,3.76,5.74,5.45,,
April,,,2.02,1.88,2.76,3.59,1.44,1.76,2.70,3.05,,
May,,,2.73,2.91,3.47,0.52,4.25,4.54,3.22,1.71,,
June,,,1.22,1.51,1.80,1.08,1.06,4.97,1.73,3.04,,
July,,,3.82,4.07,2.44,0.93,2.01,2.83,2.63,3.34,,
August,,,3.08,5.02,3.09,5.48,4.01,3.14,3.31,3.03,,
September,,,1.93,4.04,1.11,3.07,0.83,0.56,4.15,2.37,,
October,,,3.69,10.61,1.47,2.16,5.42,6.17,3.47,4.11,,
November,,,3.17,2.74,4.67,5.08,4.94,2.78,2.59,1.50,,
December,,,4.91,3.10,3.00,1.77,3.64,6.41,1.84,5.82,,
Total,,,33.03,54.17,34.02,30.63,38.16,42.33,38.62,40.17,,
Calc annual,0.00,0.00,33.03,54.17,34.02,30.63,38.16,42.33,38.62,40.17,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
