KELLAS (KELLAS HOUSE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ165539,Long,-3.397522,Lat,57.567431,Elevation,446,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5676/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,1.15,1.21,2.1,3.63,3.18,3.38,3.71,1.2,2.37,3.6,1.98,3.94,4.42,0.75,1.71,2.31,2.6,2.11,2.97,3.25,1.6,1.95,2.35,3,2.21,4.26,3.73,3.33
February,,,3.58,1.81,2.66,1.55,2.78,1.73,1.51,1.26,4.09,2.78,2.54,2.86,1.88,3.4,0.81,1.4,1.62,2.52,3.23,1.92,2.23,1.57,2.31,3.08,1.8,3.81,0.72,2.47
March,,,0.83,2.69,2.01,1.21,2.76,1.4,2.49,3.68,2.47,1.01,1.56,2.36,0.85,1.26,2.89,0.82,2.89,2.24,3.68,2.11,0.9,2.02,2.05,1.18,3.2,1.53,1.44,1.37
April,,,2.72,4.49,3.66,1.1,0.55,1.47,1.58,2.39,1.9,1.42,2.24,1.71,1.83,1.99,2.41,3.13,2.17,4.21,4.53,1.35,3.3,1.08,1.45,1.8,0.88,1.92,2.9,1.82
May,,,1.01,2.73,2.11,1.14,1.53,3.12,1,1.75,3.32,2.4,3.71,3.01,4.1,2.04,1.58,2.31,3.2,1.62,1.21,1.33,3.5,6.59,4.34,1.37,1.85,3.62,1.45,0.44
June,,,2.09,1.62,2.4,1.64,2.31,4.44,1.76,1.92,0.5,1.52,1.88,3.53,3.12,2.61,4.01,6.39,1.41,2.36,3.88,2.87,3.37,3.97,1.37,2.78,2.52,2.01,2.4,3.7
July,,,3.28,4.25,2.71,6.11,3.34,3.33,5.88,9.48,3.96,4.24,2.03,1.91,3.21,7.47,2.23,3.71,2.14,2.19,4.51,2.88,3.94,6.03,0.63,7.95,5.96,5.12,3.35,3.64
August,,,2.08,2.86,2.94,2.88,2.99,1.58,3.11,2.38,8.16,3.65,5.29,2.01,8.57,4.11,0.15,9.7,7.05,2.02,3.95,5.86,2.47,3.21,2.59,4.89,7,3.85,1.45,9.76
September,,,1.29,1.33,5.38,3.18,1.2,4.2,2.03,3.15,1.43,3.45,4.52,4.64,2.69,5.94,3.5,2.57,1.87,6.4,0.95,5.43,1.84,2.45,1.85,2.92,2.78,1.69,0.97,3.29
October,,,6.77,4.47,5.51,2.45,2.55,3.51,3.15,2.82,5.87,5.45,2.8,3.24,5.1,0.52,1.85,2.97,2.29,1.52,1.88,2.64,0.82,6.44,5.28,3.64,1.84,2.27,2.9,4.9
November,,,1.3,1.85,2.79,2.79,1.4,2.98,3.83,6.76,3.2,1.75,3.65,3.68,0.67,4.43,5.07,1.85,2.73,5.37,5.61,3.79,2.39,2.6,,2.04,3.56,1.21,3.76,2.07
December,,,0.52,2.05,2.74,2.26,3.19,1.29,3.26,4.02,2.17,2.27,0.8,4.06,4.86,2.35,1.76,2.75,5.13,3.54,3.17,3.75,3.34,5.23,,2.65,3.89,2.4,1.82,0.96
Total,,,26.62,31.36,37.01,29.94,27.78,32.43,33.31,40.81,39.44,33.54,33,36.95,41.3,36.87,27.97,39.91,35.1,36.1,39.57,37.18,29.7,43.14,,37.3,37.49,33.69,26.89,37.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955 ND+T deleted estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
