"LEEK (MOORHILL)",,,,,,,,,,,,
Grid ref,SJ998571,Long,-2.004441,Lat,53.111086,,,,,,,
Station no,2372,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.41,3.52,1.80,2.72,2.81,5.23,2.58,3.79,3.20,5.81,,
February,4.54,1.97,2.14,3.37,2.67,1.21,3.09,5.60,0.73,2.72,,
March,5.71,2.61,2.04,2.63,2.96,2.28,3.71,1.56,2.35,1.74,,
April,3.59,3.72,3.12,0.69,2.33,1.75,0.45,1.39,3.28,2.03,,
May,2.96,3.23,2.26,3.46,4.00,1.25,1.53,4.09,1.06,2.14,,
June,1.97,3.30,3.29,5.26,3.03,3.18,2.53,5.61,1.52,2.67,,
July,2.44,3.15,4.65,6.20,0.93,5.94,5.35,5.38,2.51,4.62,,
August,6.19,2.94,3.82,5.60,1.64,9.43,5.57,3.36,0.73,4.97,,
September,2.93,3.45,2.78,5.60,2.83,2.69,7.55,5.01,0.24,4.94,,
October,0.96,4.86,2.22,6.26,3.08,2.47,3.30,4.06,3.08,5.73,,
November,9.67,2.67,2.58,6.27,2.64,1.73,2.18,1.87,5.10,5.61,,
December,4.45,3.96,1.82,4.89,3.89,4.63,3.56,3.63,6.29,4.42,,
Total,48.82,39.38,32.52,52.95,32.81,41.79,41.40,45.35,30.09,47.40,,
Calc annual,48.82,39.38,32.52,52.95,32.81,41.79,41.40,45.35,30.09,47.40,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,,
