KINFAUNS Obs Rev Gordon,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 169 223,Long,-3.346488,Lat,56.38536,Elevation,185,ft,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829
January,,1.45,0.72,,,,,1.9,2.86,3.37,1.32,,0.85,3.26,0.97,2.1,,,,
February,,2.63,2.16,,,,,1.68,1.22,2.19,1.2,0.42,2.57,4.45,1.76,1.5,,,,
March,,0.9,0.86,,,,,0.96,2.2,0.76,0.33,2.96,3.43,0.99,0.85,0.6,,,,
April,,1.91,1.38,,,,,0.6,2.46,4.17,0.69,3.55,1.84,0.6,0.21,2.2,,,,
May,,3.12,,,,,,3.05,2.79,1.24,5.45,1.54,1.22,2.97,0.49,2.14,,,,
June,,2.2,2.89,,,,,4.35,1.73,2.62,1.75,0.65,0.5,2.22,1.99,2.1,,,,
July,,2.86,,,,,,3.2,3.98,1.26,1.64,1.57,5.59,5.19,1.09,0.23,,,,
August,,2.71,,,,,,5.28,0.69,1.31,2.23,1.42,3.49,3.94,2.19,1.4,,,,
September,,1.78,,,,,,0.9,2.66,1.52,0.97,1.8,0.44,2.6,3.12,2.5,,,,
October,,4.41,,,,,,1.47,1.96,4.02,2.29,1.57,2.71,3.95,4.3,1.8,,,,
November,,2.97,,,,,,2.71,3.05,1.52,1.66,5.59,3.21,1.13,4.65,,,,,
December,,1.8,0.65,,,,,2.41,1.8,1.65,2.16,4.38,1.28,4.43,2.85,,,,,
Total,,28.74,,,,,,28.51,27.4,25.63,21.69,,27.13,35.73,24.47,,,,,
