ARDROSSAN KIRKHALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 238 438,Long,-4.801452,Lat,55.655623,Elevation,106,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,2.17,5.88,4.19,1.93,2.29,0.43,3.44,6.12,5.69,2.24,3.49,2.43,2.43,2.79,4.71,2.17,3.46,1.21,3.88,1.22,2.36,1.12,,
February,,,,,,,4.02,4.36,1.74,1.41,2.55,4.68,3.02,3.16,4.8,3.33,2.07,2.25,0.92,2.1,0.67,0.48,1.52,3.08,5.72,0.37,1.94,2.45,,
March,,,,,,,4.24,2.12,1.76,2.32,2.21,3.04,2.49,1.13,2.02,1.53,3.25,1.35,2.83,1.95,2.36,2.16,0.55,1.08,2.52,2.71,4.39,4.42,,
April,,,,,,,2.02,3.28,3.39,1.6,3.39,1.24,2.78,1.98,1.1,2.27,1.47,2.48,1.75,2.5,1.19,0.56,0.77,2.21,1.69,2.59,2.22,1.88,,
May,,,,,,,0.98,1.47,2.93,2.79,0.99,3.05,1.57,2.37,3.64,2.51,3.02,1.87,3.97,3.55,3.44,2.23,4.95,3.08,2.23,0.45,0.69,1.48,,
June,,,,,,,3.1,4.26,2.5,4.79,2.4,2.73,4.49,3.64,0.56,1.05,1.03,0.94,2.85,1.15,3.44,1.24,3.09,1.52,2.5,1.88,3.77,7.26,,
July,,,,,,,2.76,2.82,0.68,4.86,1.87,2.83,5.61,2.93,4.79,1.48,2.74,2.63,5.02,3.21,4.39,0.93,2.07,4.12,2.94,5.08,6.1,1.5,,
August,,,,,,,4.53,6.57,3.51,5.13,1.54,3.93,3.99,4.94,3.71,3.52,1.88,2.92,2.26,5.01,3.05,4.57,8.03,3.19,4.2,5.53,1.92,5.78,,
September,,,,,,,3.48,1.64,3.13,4.33,3.56,1.77,3.87,3.03,3.05,4.75,4.96,4.17,2.17,1.96,3.65,4.91,3.7,2.31,0.05,0.59,4.84,3.45,,
October,,,,,,,6.61,5.09,6.18,1.86,0.4,2.04,5.18,3.88,3.52,3.85,3.02,1.16,1.25,3.78,2.8,4.17,3.3,4.89,3.44,2.69,3.5,2.46,,
November,,,,,,,2.83,5.3,1.2,1.12,3.15,4.23,5.91,5.94,3.08,1.86,4.05,2.16,5.2,2.72,5.92,4.6,3.87,2.52,2.56,4.58,1.55,2.39,,
December,,,,,,,5.88,5.48,1.45,1.26,3.09,3.42,3.52,3.79,4.31,1.89,3.39,2.36,3.06,3.47,1.26,5.28,2.4,3.64,2.95,3.48,5.01,4.32,,
Total,,,,,,,42.62,48.27,32.66,33.4,27.44,33.39,45.87,42.91,40.27,30.28,34.37,26.72,33.71,34.19,36.88,33.3,37.71,32.85,34.68,31.17,38.29,38.51,,
