DORCHESTER-LITTLEMAYNE-(LEWELL-LODGE),,,,,,,,,,,,,,,,,,,,,
Grid ref,SY732885,Long,-2.3801,Lat,50.6958,Elevation,220,ft,,,,,,,,,,,,,
Station no,1573,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,5.18,5.2,5.5,2.5,6.08,1.5,4.47,2.71,,,,,,,,,
February,,,,,0.75,4.69,2.07,3.45,3.11,2.01,1.06,2.58,,,,,,,,,
March,,,,,1.95,0.54,0.55,4.07,3.33,0.19,1.51,1.29,,,,,,,,,
April,,,,,3.6,2.91,2.82,2.69,1.62,0.78,2.69,2.76,,,,,,,,,
May,,,,,5.6,4.49,2.48,1.08,1.46,2.39,2.97,4.15,,,,,,,,,
June,,,,,1.56,0.7,3.24,2.78,2.21,1.91,0.48,3.29,,,,,,,,,
July,,,,,4.18,3.63,1.57,2.61,1.85,1.85,1.79,4.1,,,,,,,,,
August,,,,,2.75,3.09,0.9,4.18,2.9,1.92,3.49,3.78,,,,,,,,,
September,,,,,4.18,4.04,0.62,6.89,2.37,0.75,3.66,,,,,,,,,,
October,,,,,5.54,5.38,4.23,2.94,7.31,4.73,2.8,,,,,,,,,,
November,,,,,4.6,3.62,12.31,4.4,4.07,9.25,6.66,,,,,,,,,,
December,,,,,6.22,4.78,0.61,5.22,3.67,7.56,5.55,,,,,,,,,,
Total,,,,,46.11,43.07,36.9,42.81,39.98,34.84,37.13,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1931 Sept 18th Gauge moved 1m SSW,,,,,,,,,,,,,,,,,,,,,
Observer writes The altitude and exposure are practically the same and I think results will be very similar,,,,,,,,,,,,,,,,,,,,,
