DORCHESTER-LITTLEMAYNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY723870,Long,-2.39241,Lat,50.68265,Elevation,210,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,2.79,2.38,3.35,0.82,5.23,5.26,4.26,5.82,3.5,5.12,5.8,7.48,3.42,2.83,4.21,3.96,7.27,1.22,1.03,4.68,3.06,1.05,,,,,,,
February,,0.02,4.54,0.05,3.71,3.76,6.52,1,2.81,4.49,4.94,0.15,1.47,0.68,3.12,2.91,2.58,1.67,1.66,6.46,6.39,1.07,2.75,,,,,,,
March,,1.66,3.66,3.05,1.19,5.07,4.39,0.41,1.13,3.26,3.7,3.46,1.19,0.27,1.44,1.92,10.25,1.43,1.78,2.21,5.32,4.14,0.79,,,,,,,
April,,3.03,2.57,2,3.6,1.91,2.46,0.1,2.33,1.81,2.02,2.28,0.88,2.17,0.86,2.86,2.91,1.83,2.02,2.97,2.84,2.25,3.37,,,,,,,
May,,2.41,1.64,0.78,1.86,0.65,3.03,1.66,1.07,2.3,3.81,5.05,2.75,0.45,2.97,3.74,2.39,2.73,2.68,1.81,3.2,3.17,3.56,,,,,,,
June,,2.81,0.4,1.06,4.15,1.24,0.62,0.71,2.57,0.39,2.65,0.35,0.85,2.8,3.89,4.68,2.63,2.58,0.82,1.32,0.56,0.99,2.7,,,,,,,
July,,2.24,2.78,0.17,0.33,4.56,4.65,2.45,5.18,2.51,1.55,1.3,2.58,3.7,1.61,1.36,1.9,1.55,1.19,6.11,1.74,0.92,4.01,,,,,,,
August,,1.08,0.87,3.59,3.44,0.23,1.39,2.42,2.05,0.01,4.59,5.33,2.36,2.24,2.49,4.76,1.24,3.16,1.65,4.31,7.39,2.97,2.65,,,,,,,
September,,3.57,2.02,3.45,4.57,2.91,3.06,2.21,0.98,2.37,1.19,3.21,2.78,2.37,3.1,7.1,1.94,3.34,5.45,5.15,5.01,4.78,3.67,,,,,,,
October,0.59,7.82,1.99,2.32,5.68,1.79,3.93,5,6.89,6.42,1.7,4.08,4.88,3.79,4.28,2.05,1.35,3.89,7.81,1.9,1.22,5.24,4.47,,,,,,,
November,5.25,2.88,0.82,2.41,8.33,4.25,2.76,5.77,8.27,9.24,2.3,2.16,3.19,6.98,2.25,7.27,3.32,3.01,5.2,8.13,9.91,4.35,2.06,,,,,,,
December,0.96,1.5,1.21,11.5,5.97,3.52,3.79,3.56,3.13,3.35,3.19,5.45,4.06,2.69,5.48,5.27,4.54,5.63,2.65,3.72,3.76,4.07,1.36,,,,,,,
Total,,31.81,24.88,33.73,43.65,35.12,41.86,29.55,42.23,39.65,36.76,38.62,34.47,31.56,34.32,48.13,39.01,38.09,34.13,45.12,52.02,37.01,32.44,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 Sept 18th Gauge moved 1m SSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observer writes The altitude and exposure are practically the same and I think results will be very similar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC_ID 7983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924-1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
