"BROOKWOOD KNAPP HILL",,,,,,,,,,,,
Grid ref,SU958583,Long,-0.626782,Lat,51.315755,,,,,,,
Station no,233,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.79,0.93,,
February,,,,,,,,,1.04,0.52,,
March,,,,,,,,,2.93,3.51,,
April,,,,,,,,,2.71,1.88,,
May,,,,,,,,,1.78,1.75,,
June,,,,,,,,1.65,1.22,3.60,,
July,,,,,,,,1.38,1.37,2.77,,
August,,,,,,,,2.50,2.99,2.04,,
September,,,,,,,,0.60,1.48,2.74,,
October,,,,,,,,4.65,2.54,4.30,,
November,,,,,,,,2.22,0.81,0.62,,
December,,,,,,,,3.21,2.56,2.75,,
Total,,,,,,,,,23.22,27.41,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.21,23.22,27.41,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,,
