SUTTON COLDFIELD,,,,,,,,,,
Grid ref,SP121961,Long,-1.8229357,Lat,52.5626,Elevation,390,ft,,
Station no,RR8875,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,2.95,1.77,2.02,1.62,1.56,4.26,,,,
February,0.67,0.12,1.44,2.9,2.68,0.06,,,,
March,1.61,1.14,0.66,0.59,1.02,2.17,,,,
April,0.77,2.11,0.89,0.09,1.98,1.94,,,,
May,1.99,3.26,1.66,1.74,2.21,1.32,,,,
June,1.76,2.68,2.54,0.98,2.43,0.88,,,,
July,2.56,2.68,2.19,1.64,3.58,4.71,,,,
August,3.37,4.07,3.29,1.47,2.74,3.43,,,,
September,0.89,1.52,2.64,0.66,2.28,0.73,,,,
October,1.61,5.5,2.86,2.16,3.29,3.35,,,,
November,3.94,2.71,1.58,1.48,2.32,3.57,,,,
December,0.72,3.11,1.57,2.73,2.37,1.96,,,,
Total,22.84,30.67,23.34,18.06,28.46,28.38,,,,
