WOLVERHAMPTON-10-WATERLOO-ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,SO911987,Long,-2.1327932,Lat,52.586031,Elevation,480,ft.,,,,,,,,,,,,
Station no,RR1247,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,1.84,3.14,1.91,2.94,1.76,1.68,4.22,,,,,,,
February,,,,,,,1.87,1.57,2.28,1.81,1.77,1.59,2.67,,,,,,,
March,,,,,,,1.82,2.59,1.85,1.58,1.79,0.81,1.79,,,,,,,
April,,,,,,,0.72,2.14,1.94,1.72,1.15,2.91,3.32,,,,,,,
May,,,,,,,1.79,1.44,1.85,5.55,1.01,1.78,2.1,,,,,,,
June,,,,,,,3.23,1.44,0.3,1.13,0.76,3.99,5.14,,,,,,,
July,,,,,,,1.74,3.17,0.39,0.6,1.33,4.16,5.17,,,,,,,
August,,,,,,,3.95,2.06,4.55,1.45,2.09,1.1,4.05,,,,,,,
September,,,,,,,5.53,2.65,2.07,6.4,0.58,5.63,2.32,,,,,,,
October,,,,,,,2.48,3.11,2.01,1.65,4.34,2.57,4.98,,,,,,,
November,,,,,,,2.13,1.08,1.46,2.09,2.02,0.55,3.53,,,,,,,
December,,,,,,,1.76,1.44,5.46,3.29,2.49,1.57,3.59,,,,,,,
Total,,,,,,,28.86,25.83,26.07,30.21,21.09,28.34,42.88,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
"NGR is 10 Waterloo Road, where the observer Mr Charle G De Lessert, lived in 1871. Gauge moved about 100m east in 1872/73 to the Town Hall. Altitude a little high unless the gauge is raised.",,,,,,,,,,,,,,,,,,,,
The inspector notes that the gauge is too sheltered from rain from the SW.,,,,,,,,,,,,,,,,,,,,
