CALDBECK (FRIAR ROW),,,,,,,,,,,,,,,,,,,,
Grid ref,NY324399,Long,-3.0517466,Lat,54.749485,Elevation,540,ft,,,,,,,,,,,,
Station no,3610/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,4.85,6.55,5.59,7.39,2.39,1.23,6.15,7.6,5.42,,,,,,
February,,,,,,3.36,6.07,1.61,5.31,1,4.53,1.95,5.89,2.53,,,,,,
March,,,,,,2.17,2.81,2.84,3.25,5.73,2.24,3.09,1.38,0.85,,,,,,
April,,,,,,1.16,2.44,0.72,2.17,1.95,1.19,1.96,2.54,1.99,,,,,,
May,,,,,,1.71,2.11,2.67,0.63,1.06,3.37,3.24,4.63,2.36,,,,,,
June,,,,,,2.68,1.43,6.39,2.92,1.2,0.98,1.48,4.27,5,,,,,,
July,,,,,,2.98,2.65,4.91,4.58,5.81,0.58,4.74,2.34,3.13,,,,,,
August,,,,,,1.61,2.59,4.15,2.86,3.41,6.77,4.14,6.07,4.13,,,,,,
September,,,,,,5.48,4.23,1.68,1.93,5.7,1.57,6.52,4.32,,,,,,,
October,,,,,,6.24,3.33,11.19,2.21,4.64,6.08,6.63,8.07,,,,,,,
November,,,,,,4.95,1.24,10.28,7.72,4.82,2.99,1.49,3.1,,,,,,,
December,,,,,2.48,6.95,2.77,4.64,2.43,4.59,2.34,5.85,2.6,,,,,,,
Total,,,,,,44.14,38.22,56.67,43.4,42.3,33.87,47.24,52.81,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Gauge moved 1/4 mile September 1944 - data on new csv,,,,,,,,,,,,,,,,,,,,
