CALDBECK (Upton School),,,,,,,,,,
Grid ref,NY321395,Long,-3.0563129,Lat,54.745851,Elevation,590,ft,,
Station no,3610/7,,,,,,,,,
,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,4.59,5.77,4.54,,5.86,4.1
February,,,,,5.18,3.55,1.5,,4.11,6.32
March,,,,,3,2.08,4.93,,1.61,3.4
April,,,,,2.7,1.75,7.86,,4.56,3.74
May,,,,,5.97,1.62,4.24,1.58,2.22,2.55
June,,,,,3.2,2.82,3.12,6.1,1.4,2.72
July,,,,,3.56,4.11,3.11,2.86,1.91,3.56
August,,,,,2.62,5.7,0.09,8.6,2.03,6.51
September,,,,,3.29,7.21,3.52,7.96,1.66,9.16
October,,,,5.83,5.32,0.78,0.86,3.05,6.5,4.79
November,,,,9.65,0.27,8.25,7.22,4.01,6.22,
December,,,,5.05,3.29,4.79,1.9,5.19,9.55,
Total,,,,,42.99,48.43,42.89,,47.63,
,,,,,,,,,,
Gauge moved here Sept 1944 hence 1940-Sept 1944 data removed.,,,,,,,,,,
1949 and 1950 100s transcribed from record therefore deleted,,,,,,,,,,
