"KIRKBY MALZEARD (HAWSETT)",,,,,,,,,,,,
Grid ref,SE184729,Long,-1.719776,Lat,54.151595,,,,,,,
Station no,3379,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.73,2.71,0.45,2.67,2.73,4.32,4.18,3.44,4.39,5.94,,
February,2.93,0.40,2.55,3.06,2.20,2.15,3.11,4.80,0.17,3.58,,
March,3.74,2.26,0.56,2.51,2.30,1.58,2.32,2.51,2.94,2.41,,
April,1.79,2.00,2.86,0.45,0.90,2.07,0.22,1.00,4.37,1.69,,
May,5.98,1.91,1.90,5.34,2.91,0.92,1.46,5.73,0.79,1.21,,
June,1.12,1.09,2.73,2.13,2.46,2.92,1.54,3.71,1.32,1.24,,
July,1.90,1.61,3.33,2.36,1.08,6.19,3.13,2.59,2.24,5.20,,
August,5.38,4.57,3.88,6.34,1.10,7.74,6.03,3.59,0.81,3.34,,
September,2.29,4.26,3.12,3.20,1.60,4.35,4.28,3.05,0.22,3.51,,
October,1.86,4.02,3.04,6.96,2.09,1.86,4.08,2.94,4.06,6.57,,
November,9.67,2.88,3.56,7.02,2.81,0.57,1.70,1.03,4.13,5.66,,
December,5.42,2.15,1.77,3.29,5.01,3.80,3.00,5.86,8.97,4.82,,
Total,45.81,29.86,29.75,45.33,27.19,38.47,35.05,40.25,34.41,45.17,,
Calc annual,45.81,29.86,29.75,45.33,27.19,38.47,35.05,40.25,34.41,45.17,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
