STONE-MEAFORD-HALL,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ889355,Long,-2.1665228,Lat,52.916804,Elevation,325,ft.,,,,,,,,,,,,,
Station no,2355,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,3.53,3.58,4.12,2.69,2.62,2.18,3.31,2.3,5.79,2.07,4.23,2.83,3.46,2.39,2.73,1.65,5.2,,,,
February,2.39,0.3,2.94,5.26,1.07,3.58,3.18,1.45,3.23,0.5,0.6,3.48,0.35,4.74,0.47,3.52,1.88,,,,
March,2.88,1.47,2.5,1.68,1.12,1.35,1.13,3,2.2,0.58,3.25,0.42,2.04,2.81,2.54,0.81,2.36,,,,
April,5.44,1.59,1.85,2.45,2.79,1.61,1.99,2.43,2.56,0.68,3.41,4.07,3.51,1.28,2.56,3.36,2.23,,,,
May,3.95,1.94,0.83,3.97,4.14,4.44,3.77,1.75,0.7,2.18,2.48,3.91,5.8,1.07,1.16,0.76,0.76,,,,
June,3.28,0.9,0.94,0.69,2.38,0.18,2.52,4.3,4.1,1.86,1.52,4.29,0.64,2.72,1.24,3.67,4.64,,,,
July,5.71,0.66,4.57,3.6,4.51,2.88,2.24,3.79,1.79,2.47,7.54,4.12,3.24,2.58,1.39,0.56,6.41,,,,
August,1.62,4.49,4.03,3.67,4.93,2.64,2.72,4.63,3.64,3.56,3.33,5.13,2.14,0.73,3.88,1.86,1.78,,,,
September,3.09,1.26,3.19,2.89,3.44,4.57,1.55,4.09,1.42,1.2,3.53,3.66,2.37,1.73,2.27,4.85,4.52,,,,
October,2.15,2.52,0.51,3.87,4.26,4.76,1.84,2.41,4.72,4.51,4.43,1.12,6.47,4.93,3.38,5.83,3.71,,,,
November,0.89,1.94,1.41,2.48,1.78,2.11,3.81,3.39,5.34,7.53,4.45,5.32,3.02,1.25,2.85,5.68,3.57,,,,
December,2.55,2.83,4.31,4.59,2.6,1.78,0.72,1.45,3.13,4.95,3.42,1.67,1.49,0.49,5.01,4,2.82,,,,
Total,37.48,23.48,31.2,37.84,35.64,32.08,28.78,34.99,38.62,32.09,42.19,40.02,34.53,26.72,29.48,36.55,39.88,,,,
,,,,,,,,,,,,,,,,,,,,,
NGR is Meaford Hall. Altiudes match. Other gauge is 100 yards away,,,,,,,,,,,,,,,,,,,,,
