SLAIDBURN (FAR BARN),,,,,,,,,,,,
Grid ref,SD746572,Long,-2.389067,Lat,54.010186,,,,,,,
Station no,3085/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,4.90,4.17,6.22,7.30,6.15,4.55,,,
February,,,,3.71,2.25,1.60,5.00,8.80,1.19,,,
March,,,,3.14,1.70,2.90,4.75,1.59,2.77,,,
April,,,,1.53,2.50,2.24,1.25,1.80,3.91,,,
May,,,,3.66,4.95,2.36,3.10,6.46,0.79,,,
June,,,,4.12,3.71,2.65,2.00,3.83,4.01,,,
July,,,,7.80,1.94,6.61,6.71,4.75,4.26,,,
August,,,,6.40,1.03,10.95,6.41,6.18,0.54,,,
September,,,,9.62,4.15,3.80,6.68,6.65,0.64,,,
October,,,,13.38,3.93,4.05,8.00,5.08,7.02,,,
November,,,7.75,10.00,2.83,2.46,2.23,1.95,6.54,,,
December,,,3.15,11.60,8.35,6.50,7.33,5.55,11.27,,,
Total,,,,79.86,41.51,52.34,60.76,58.79,47.49,,,
Calc annual,0.00,0.00,10.90,79.86,41.51,52.34,60.76,58.79,47.49,0.00,,
Difference,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,0.00,NaN,,
