GARVALD DONOLLY RESERVOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT580690,Long,-2.673463,Lat,55.912255,Elevation,560,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,1.53,0.94,2.94,1.11,2.15,2.11,,,,,,3.36,4.21,2.83,1.35,6.52,2.5,2.2,2.83,0.72,3.15,1.62,4.26,1.29,4.52,4.72,1.58,1.85,2.73,6.73,3.57,4.35,4.15,5.1,3.25,,,1.45,2.4,2.1,3.22,0.94,3.2,1.7,2.46,1.94,1.6,1.43,3.54,3,2.75,6.18,0.89,1.87,3.2,2.39,1.38,3.13,1.24,3.45,6.21,1.45,0.74,3.09,1.96,0.7,2.23,1.84,2.17,2.45,1.49,1.22,4.24,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,4.23,2.25,0.86,0.25,4.33,3.42,,,,,,1.43,4.38,2.52,0.74,4.1,4.45,1.21,1.52,1.32,1.51,2.31,3.73,1.52,2.34,1.24,2.03,3.83,3.9,0.62,2.3,2.36,3.2,2.86,2.68,,,3.2,1.85,0.71,1.66,0.52,0.95,1.46,0.75,2.2,0,1.48,3.6,2.46,0.85,1.76,1.46,2.3,1.28,1.04,1.25,1.7,0.94,1.04,1.35,0.69,2.92,3.3,0.58,0.99,2.25,1.97,3.1,3.98,2.3,0.32,2.84,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,8.92,2.23,2.92,6.71,2.92,0.73,,,,,,1.81,4.54,2.54,1.78,2.47,2,2.73,1.75,2.11,4.75,6.45,1.33,3,3,3.69,3.14,2.58,5.26,2,1.25,3.36,3.6,2.3,2.75,,,2.4,1.15,2.9,2.68,0.15,1.87,0.72,2.58,0.7,4.45,1,2.8,3.3,0.35,3.38,2.53,2.79,0.67,1.28,0.56,0.38,2.56,3.31,0.91,1.22,2.12,4.3,1.25,0.31,1.88,1.81,1.68,1.77,1.8,0.8,1.19,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,2.93,3.42,0.71,1.63,1.04,1.13,,,,,,3,1.43,1.73,1.8,2.01,2.1,2.41,1.22,2.3,2.5,3.24,3.01,1.56,0.28,2.23,1.28,1.01,2.25,3.28,1.95,4.85,3.2,1,2.75,,,4.2,2.1,1.08,1.04,1.59,1.52,3.27,1.68,1.57,3.98,2.96,1.84,0.87,0.1,0.93,1.67,1.12,0.96,0.96,1.89,0.94,0.45,3.12,1.84,1.08,2.69,3.04,1.85,3.11,0.79,0.6,0.74,0.94,3.2,1.82,1.06,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,1.12,1.87,1.92,2.37,1.83,4.47,,,,,,3.47,1.56,2,4.24,1.5,3.53,1.3,7.5,2.31,2.21,2.41,2.8,1,1.87,3.87,1.7,1.49,5,1.75,2.78,0.7,3.95,1.45,1.1,,,3.2,2.15,1.8,1.18,1.72,1.15,2.78,2.78,1,2.46,1.1,1.13,2.65,2.98,1.37,1.65,1.88,1.67,2.93,3.74,4.44,1.74,3.16,1.59,2.24,1.81,3.83,2.03,2.4,5.63,1.74,0.4,1.22,1.78,0.39,1.32,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,2.25,0.63,4.46,1.49,2.17,1.2,,,,,,0.76,2.84,1.45,3.52,2.73,2.77,1.43,1.96,2.97,1.11,2.2,2.16,5.4,4.28,1.52,2.53,1.98,4.23,1.53,0.86,2.26,0.25,1,2.25,,,0.7,3.8,2.73,4.72,2.12,1.5,3.7,1.08,1.87,2.97,2.9,1.33,1.18,3.29,3.39,0.48,1.57,1.24,2.14,2.45,1.22,1.59,2.34,3.99,1.05,1.74,1.53,2.43,2.61,1.93,0.76,2.67,1.05,2.89,2.23,0.78,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,5,5.23,3.13,3.79,1.83,3.25,,,,,,3.52,3.07,1.53,2.56,4.21,2.1,3.43,1.39,3.03,3.59,2.85,4.03,1.25,1.53,0.59,2.45,4.35,3.92,1.34,3.14,0.76,4.7,1.36,4.55,,,2.3,3.8,4.1,1.9,2.41,4.98,3.36,3.48,3,2.4,0.87,3.74,3.63,3.35,2.72,9.41,3.44,3.26,3.42,2.58,2.37,2.73,1.93,1.61,2.33,2.22,3.72,1.63,4.94,1.96,1.79,3.7,4.63,4.92,1.55,2.84,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,2.2,4.64,4.76,4.25,3.64,2.21,,,,,,0.62,4.02,6.4,1.43,3.63,3.13,3.37,5.26,2.52,2.32,3.48,5.36,1.03,3.18,1.67,2.63,2.94,4.59,6.5,1.85,2,5.7,4.3,3.3,,,3,1.3,6.38,4.1,4.97,5.9,6.35,0.42,0.88,3.48,3.1,1.8,3.16,1.6,2.44,1.07,3.04,2.06,2.77,2.64,4.38,4.97,0.34,12.88,2.9,2.37,5,2.53,1.91,6.18,0.82,7.93,5.77,2.27,0.72,3.78,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,1.35,1.04,2.12,5.32,1.41,1.34,,,,,,4.35,2.01,2.21,1.67,2.73,2.2,4.02,1.26,1.81,3.14,3.41,1.6,1.39,4.15,2.53,0.7,3.1,3.5,1.58,3.9,2.38,2.15,2.65,2.75,,,4.7,4.4,7.08,1.87,0.21,4.3,2.37,2.72,2.55,1.72,2,3.72,1.25,3.18,1.78,2.61,0.79,1.97,1.57,5.06,2.82,2.95,1.52,2.64,1.25,5.34,0.65,3.53,3.46,2.75,0.88,3.89,1.41,1.69,0.57,2.35,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,0.81,6.87,2.69,2.57,6.15,2.54,,,,,,2.17,5.03,2,2.56,6.82,1.51,2.75,7.46,9.34,1.6,3.71,4.61,4.01,3.08,3.4,2.67,2.2,4.85,4.46,3.86,2.47,2.25,3.85,5.86,,,1.5,3.9,3.66,3.62,2.87,2.46,1.62,7.2,3.1,2.98,6.5,1.87,3.7,5.15,5.07,3.5,3.14,2.68,2.66,2.3,2.85,0.55,0.72,2.46,5.91,1.44,0.53,3.05,2.06,4.81,2,1.01,1.68,1.38,1.87,5.83,,,,,,,,,,,,,,,,,,,
