"GARVALD (DONOLLY RESERVOIR)",,,,,,,,,,,,
Grid ref,NT580690,Long,-2.673463,Lat,55.912255,,,,,,,
Station no,5095,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.09,1.96,0.70,2.23,1.84,2.17,2.45,1.49,1.22,4.24,,
February,3.30,0.58,0.99,2.25,1.97,3.10,3.98,2.30,0.32,2.84,,
March,4.30,1.25,0.31,1.88,1.81,1.68,1.77,1.80,0.80,1.19,,
April,3.04,1.85,3.11,0.79,0.60,0.74,0.94,3.20,1.82,1.06,,
May,3.83,2.03,2.40,5.63,1.74,0.40,1.22,1.78,0.39,1.32,,
June,1.53,2.43,2.61,1.93,0.76,2.67,1.05,2.89,2.23,0.78,,
July,3.72,1.63,4.94,1.96,1.79,3.70,4.63,4.92,1.55,2.84,,
August,5.00,2.53,1.91,6.18,0.82,7.93,5.77,2.27,0.72,3.78,,
September,0.65,3.53,3.46,2.75,0.88,3.89,1.41,1.69,0.57,2.35,,
October,0.53,3.05,2.06,4.81,2.00,1.01,1.68,1.38,1.87,5.83,,
November,5.32,4.24,2.26,4.08,1.23,1.00,2.34,0.74,5.97,3.17,,
December,1.83,3.36,2.31,2.80,4.82,2.93,3.26,5.43,4.57,2.35,,
Total,36.14,28.44,27.06,37.29,20.26,31.22,30.50,29.89,22.03,31.75,,
Calc annual,36.14,28.44,27.06,37.29,20.26,31.22,30.50,29.89,22.03,31.75,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,,
