LYME-REGIS-ROTHERFIELD,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY338924,Long,-2.9386,Lat,50.72786,Elevation,145,ft,,,,,,,,,,,,,
Station no,1592,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,5.09,3.35,5.3,2.21,5.08,5.01,5.02,3.97,6.41,1.87,5.49,2.83,3.17,2.38,2.82,0.92,6.47,4.99,3.93,6.8,2.94
February,0.72,0.32,3.26,7.56,1.25,4.97,2.53,3.61,3.26,2.12,1.16,2.94,0.04,5.24,0.16,3.62,3.05,6.38,1.11,2.22,4.46
March,3.73,2.19,3.15,1.62,1.67,0.41,0.79,4.49,3.11,0.34,1.91,1.49,2.22,3.62,2.54,1.36,5.14,4.82,0.26,1.17,3.04
April,4.6,1.21,4.06,2.86,3.29,2.66,3.09,2.67,1.52,0.92,2.96,2.85,2.86,2.14,3.29,4.2,2.54,2.91,0.09,2.32,2.64
May,1.85,2.13,0.91,1.43,5.45,3.89,1.78,0.93,1.76,2.52,2.11,3.14,4.2,2.16,1.05,1.69,0.79,3.01,2.19,0.64,2.71
June,2.65,0.56,1.1,0.51,2.62,0,3.64,2.71,2.06,2.42,0.31,3.29,2.97,1.21,1.09,4.22,1.99,1.25,1.62,3.45,0.66
July,5.69,0.48,5.09,1.05,4.21,3.49,5.13,3.43,1.73,1.73,1.74,3.52,3.07,2.07,0.09,0.34,5.93,3.48,4.1,4.63,2.78
August,1.48,2.56,4.24,2.24,3.52,2.89,1.42,3.29,2.07,2.58,3.78,4.34,1.51,2.51,4.12,2.83,0.24,1.32,3.43,2.47,0.13
September,1.94,0.89,2.26,3.69,5.74,3.6,1.05,5.66,1.51,0.62,5.05,1.99,5.09,1.84,2.96,3.84,2.6,3.21,2.28,0.99,1.83
October,2.31,1.27,1.67,5.69,6.14,4.2,4.21,2.87,7.55,4.98,3.11,0.44,7.2,2.63,2.72,3.79,1.72,4.33,4.1,6.13,
November,1.45,3.31,2.24,2.02,3.59,3.5,9.17,3.92,3.83,10.2,5.94,6.2,2.57,0.98,1.55,6.73,3.42,2.83,6.49,8.06,
December,4.53,1.68,4.8,3.84,4.97,5.32,0.49,4.55,3.35,7.52,4.62,1.81,2.32,1.07,10.22,6.05,3.92,4.14,4.64,2.25,
Total,36.04,19.95,38.08,34.72,47.53,39.94,38.32,42.1,38.16,37.82,38.18,34.84,37.22,27.85,32.61,39.59,37.81,42.67,34.24,41.13,
,,,,,,,,,,,,,,,,,,,,,
At junction of Woodmead Road and View Road,,,,,,,,,,,,,,,,,,,,,
1927 Inspection Gauge in sloping garden Site peculiar but gauge and measure OK,,,,,,,,,,,,,,,,,,,,,
1940 Oct Marked as estimated,,,,,,,,,,,,,,,,,,,,,
1940 Station terminated on death of observer,,,,,,,,,,,,,,,,,,,,,
