"SLIGACHAN, SKYE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NG 485 298,Long,-6.175443,Lat,57.28955,Elevation,40,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,13.4,,,,,6.75,10,17,14.25,8.37,12.25,15,10.75,4.5,1.75,6.25,1.12,18.31,16.02,16.37,,,,,
February,,,,,,11.2,,,,,6,8.5,8.5,1.5,6.25,4.5,6.75,8,2,4,25.58,7.86,14.15,15.76,13.66,,,,,
March,,,,,,8.9,,,,,1.5,12.5,8.25,4.75,12,3.5,8.75,4,5.13,4.25,5.19,7.46,16.35,7.48,13.04,,,,,
April,,,,,6.5,4.8,,,,,7.75,2.25,6.25,4,4.5,1,5,0.75,1.5,1.25,6.58,1.93,6.68,6.42,4.27,,,,,
May,,,,,3,14,,,,,10,2.75,6.75,2.25,5.13,7,0.75,4.25,4.25,3.25,6.03,5.8,7.22,10.89,10.35,,,,,
June,,,,,9.9,6.3,,,,,4.25,2,5.25,5.25,4.5,4.25,8.5,3.62,3.12,4.75,4.07,11.45,6.5,4.57,4.63,,,,,
July,,,,,3.1,9.3,,,,,4.25,10.25,4.75,7,4.75,3.13,4.5,6.5,4,6,2.15,13.73,9.42,3.5,4.74,,,,,
August,,,,,,12.2,,,,,0.5,7.5,5.75,7.75,8.12,8,3.25,3.75,5.38,7.5,2.68,10.37,7.05,10.35,11.87,,,,,
September,,,,,,15.5,,,,,10.75,4.25,8.25,8.75,14.25,4.25,4.38,4,8.25,9,6.13,9.24,8.46,6.07,15.27,,,,,
October,,,,,6.4,12.2,,,,,9,13.25,9.5,8,16.38,7.75,8.25,20.25,9.5,3.25,2.03,4.73,7.7,15.34,17.45,,,,,
November,,,,,15.2,,,,,,9.5,12.75,11.5,10.12,11.75,6.75,2.75,17,7.12,2.75,12.42,22.17,12.87,25.87,21.51,,,,,
December,,,,,19.8,,,,,,6.5,15,12,9.25,3.5,10,4.75,12.13,5,7.5,7.51,19.55,11.27,16.63,18.81,,,,,
Total,,,,,,,,,,,76.75,101,103.75,82.87,99.5,72.38,72.63,95,59.75,55.25,86.62,115.41,125.98,138.9,151.97,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Possibility of different Gauges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discarded TYRain_1880-1889_16_pt1-page-035.csv not as complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
