"LONGFIELD (HARTLEY)",,,,,,,,,,,,
Grid ref,TQ617663,Long,0.321763,Lat,51.372736,,,,,,,
Station no,394/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.22,2.18,0.94,1.34,3.38,3.66,1.08,2.08,2.27,2.67,,
February,6.24,0.94,1.38,2.01,2.06,0.26,3.24,2.03,0.09,2.14,,
March,3.42,2.69,0.28,2.18,1.47,0.82,0.99,1.43,2.08,1.64,,
April,2.97,1.09,2.31,0.28,0.18,1.14,0.26,1.83,2.15,0.83,,
May,2.53,1.10,2.09,1.70,4.08,0.95,1.17,2.03,1.21,2.22,,
June,1.46,1.20,1.98,4.29,2.14,1.97,1.27,3.71,0.65,1.15,,
July,3.40,0.60,3.14,2.23,0.32,4.95,2.92,2.40,1.14,3.04,,
August,3.58,3.09,1.30,3.02,1.32,2.73,3.10,3.58,0.84,3.95,,
September,3.08,3.97,3.05,1.62,2.70,2.32,2.29,5.95,0.17,3.56,,
October,0.80,2.22,2.44,2.01,4.21,1.13,1.39,2.59,2.54,7.29,,
November,3.96,5.41,1.15,4.81,0.70,0.73,3.74,1.67,3.66,4.28,,
December,2.30,2.20,0.73,1.93,1.89,3.10,2.30,3.13,4.71,3.02,,
Total,36.96,26.69,20.79,27.42,24.45,23.76,23.75,32.43,21.51,35.79,,
Calc annual,36.96,26.69,20.79,27.42,24.45,23.76,23.75,32.43,21.51,35.79,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
