INVERARITY MANSE,,,,,,,,,,,,
Grid ref,NO452445,Long,-2.893876,Lat,56.589199,,,,,,,
Station no,RR8827,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.79,2.38,1.16,4.65,2.05,,,,,,,
February,4.58,1.56,1.48,4.26,4.83,,,,,,,
March,2.16,2.48,1.16,3.87,1.97,,,,,,,
April,1.42,3.47,2.72,1.71,2.36,,,,,,,
May,2.33,2.14,1.80,1.68,2.29,,,,,,,
June,2.19,1.85,1.66,1.92,0.59,,,,,,,
July,3.50,1.69,2.45,5.18,1.04,,,,,,,
August,4.23,4.23,3.07,4.56,5.21,,,,,,,
September,2.65,2.00,1.47,3.38,3.04,,,,,,,
October,3.29,2.31,1.48,6.14,1.19,,,,,,,
November,5.14,1.99,5.59,0.87,0.73,,,,,,,
December,4.68,3.54,4.80,2.98,1.86,,,,,,,
Total,40.96,29.64,28.84,41.20,27.16,,,,,,,
Calc annual,40.96,29.64,28.84,41.20,27.16,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
