KERNHILL, BANCHORY = PITFODDIL,,,,,,,,,
Grid ref,NJ 91005 02994,Long,-2.150179,Lat,57.117798,Elevation,80,ft,,
Station no,RR2753,,,,,,,,,
,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,1.78,3.22,4.2,3.1,1.55,,,,1.18,
February,,0.31,2.33,3.88,0.55,,,,0.45,
March,,3.72,0.53,2.12,0.2,,,,2.15,
April,,1.87,0.6,1.6,3.4,,,,0.9,
May,,0.64,1.75,0.25,1.06,,,,1.84,
June,,1.68,2.87,1.26,1.55,,,,1.36,
July,,2.01,1.65,1.3,0.63,,,,3.66,
August,2.57,1.92,2.24,1.2,1.4,,,,2.85,
September,1.34,2.24,3.3,1.45,0.55,,,,1.25,
October,2.62,1.91,4.31,2.9,2,,,,4.85,
November,2.29,1.1,3.3,0.87,1.4,,,,3.48,
December,4,0.54,5.2,1.4,2.16,,,,4.15,
Total,,21.16,32.28,21.33,16.45,,,,28.12,
,,,,,,,,,,
1850 02'07 Deleteted,,,,,,,,,,
Duplicated with Girdleness,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
