ABERDEEN (ALLANVALE PITMUXTON),,,,,,,,,,,,,,,,,,,,
Grid ref,NJ 93696 04324,Long,-2.105775,Lat,57.129789,Elevation,40,ft,,,,,,,,,,,,
Station no,RR8571,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,3.7,3.68,3.75,1.52,1.24,2.6,2.55,,,,,,
February,,,,,,,,1.11,1.65,1.76,3.1,3.98,4.63,1.38,,,,,,
March,,,,,,,,2.11,1.76,1.32,0.85,0.53,2.13,2.64,,,,,,
April,,,,,,,,3.28,2.64,2.2,1.6,4.91,2.79,0.87,,,,,,
May,,,,,,,,2.6,1.54,1.74,1.27,0.63,3.48,3.06,,,,,,
June,,,,,,,1.32,1.19,0.54,2.88,0.69,1.16,3.45,0.94,,,,,,
July,,,,,,,3.56,3.29,0.67,0.63,2.44,2.63,2.04,3.54,,,,,,
August,,,,,,,3.28,3.52,7.37,1.15,0.86,2.48,3.21,3.87,,,,,,
September,,,,,,,2.81,2.35,3.45,5.18,2.1,2.24,6.45,4.27,,,,,,
October,,,,,,,2.46,2.61,2.03,6.44,3.02,3.82,4.46,2.52,,,,,,
November,,,,,,,1.85,0.93,1.7,1.5,2.54,2.42,6.48,4.62,,,,,,
December,,,,,,,3.27,2.23,4.58,2.68,4.79,1.56,3.53,1.72,,,,,,
Total,,,,,,,,28.92,31.61,31.23,24.78,27.6,45.25,31.98,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR from 1843-82 map,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR8571,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
