SALFORD TOWN HALL,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ829986,Long,-2.2591551,Lat,53.483836,Elevation,107,ft,,,,,,,,,,,,
Station no,RR6965,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,2.93,2.61,2.89,0.87,4.22,3.86,3.46,3.31,,,,
February,,,,,,,,,2.15,4.18,0.85,2.42,3.11,0.36,1.53,0.58,,,,
March,,,,,,,,,3.78,0.99,2.38,1.38,3.08,3.05,3.22,0.66,,,,
April,,,,,,,,,1.37,2.25,1.92,3.69,2.99,0.73,1.18,0.94,,,,
May,,,,,,,,,0.77,1.49,0.92,2.02,2.38,2.52,1.48,2.08,,,,
June,,,,,,,,,0.18,1.31,1.96,3.08,5.62,2.62,1.05,3.81,,,,
July,,,,,,,,,0.5,1.18,1.13,2.88,6.97,4.29,1.93,3.81,,,,
August,,,,,,,,,2.36,2.79,1.67,1.88,3.48,4.66,3.7,5.01,,,,
September,,,,,,,,,1.9,6.18,3.09,3.64,7.32,2.79,2.21,5.07,,,,
October,,,,,,,,,4.77,3.06,9.58,4.58,4.45,4.44,2.61,4.63,,,,
November,,,,,,,,,2.63,4.22,2.5,1.55,3.87,2.22,5.11,4,,,,
December,,,,,,,,,7.71,3.51,2.2,2.28,2.71,0.78,3.43,1.13,,,,
Total,,,,,,,,,31.05,33.77,31.09,30.27,50.2,32.32,30.91,35.03,,,,
,,,,,,,,,,,,,,,,,,,,
Gauge frequently moved in height; elevation above at ground level,,,,,,,,,,,,,,,,,,,,
"1868-1870 7' above ground; 1871 8' above ground; 1872 12' above ground; 1873-1874 119' above ground; 1875 1'6"" above ground",,,,,,,,,,,,,,,,,,,,
