TINTINHULL-MANOR-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST502197,Long,-2.70999,Lat,50.97512,Elevation,145,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,0.68,1.31,3.37,0.96,4.26,5.25,0.47,2.64,0.94,0.64,4.78,4.79,4.19,2.27,4.73,1.76,,,,,,,
February,,,,,,,,,0.9,0.55,4,1.33,2.79,0.98,3.6,5.45,5.53,1.14,1.07,2.45,0.75,0.23,2.87,6.5,,,,,,,
March,,,,,,,,,3.3,4.12,0.6,1.79,5.09,2.65,4.86,0.72,3.19,2.87,1.05,4.65,1.96,1.84,2.48,1.51,,,,,,,
April,,,,,,,,,2.08,2.53,2.59,1.37,0.2,3.64,1.25,0.94,0.79,1.66,2.03,2.01,2.85,0.83,2.94,1.54,,,,,,,
May,,,,,,,,,1.96,0.94,1.84,1.44,1.83,2.67,1.78,2.41,3.6,2.17,1.39,0.35,0.93,1.76,0.33,1.4,,,,,,,
June,,,,,,,,,0.38,2.98,4.06,1.9,3.84,0.69,3.68,2.19,1.16,3.16,1.04,0.55,1.52,0.7,0.65,0.23,,,,,,,
July,,,,,,,,,1.78,2.23,3.84,0.11,2.98,0.82,5.18,3.99,0.65,3.55,5.58,3.04,4.75,0.62,3.27,0.61,,,,,,,
August,,,,,,,,,2.71,2.56,4.78,1.38,6.27,2.06,2.27,2.71,3.55,6.16,2.33,3.65,1.08,1.56,4.43,1.7,,,,,,,
September,,,,,,,,,3.21,3,0.39,0.89,1.2,3,2.08,1.57,2.59,1.66,5.15,1.59,1.04,1.03,1.74,2.7,,,,,,,
October,,,,,,,,,1.88,4.87,5.33,2.65,4.7,4.06,2.46,4.78,6.12,3.24,2.56,2.79,1.3,1.08,1.49,5.25,,,,,,,
November,,,,,,,,,1.14,0.67,3.71,3.05,2.19,3.09,3.57,2.55,4.88,0.8,2.74,1.88,0.76,2.05,1.33,1.92,,,,,,,
December,,,,,,,,,2.99,4.66,6.79,9.26,4.62,2.23,7.39,6.1,3.4,0.78,2.65,4.64,1.15,1.81,3.77,2.38,,,,,,,
Total,,,,,,,,,23.01,30.42,41.3,26.13,39.97,31.14,38.59,36.05,36.4,27.83,32.37,32.39,22.28,15.78,30.03,27.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Called Mansion House on OS maps Now NT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1909 Corrected for wrong day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observations at 9.30 am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920 Observer affirms accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
