"TINTINHULL, MANOR HOUSE",,,,,,,,,,,,
Grid ref,ST502198,Long,-2.710691,Lat,50.975447,,,,,,,
Station no,RR6855,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,0.68,1.31,,
February,,,,,,,,,0.90,0.55,,
March,,,,,,,,,3.30,4.12,,
April,,,,,,,,,2.08,2.53,,
May,,,,,,,,,1.96,0.94,,
June,,,,,,,,,0.38,2.98,,
July,,,,,,,,,1.78,2.23,,
August,,,,,,,,,2.71,2.56,,
September,,,,,,,,,3.21,3.00,,
October,,,,,,,,,1.88,4.87,,
November,,,,,,,,,1.14,0.67,,
December,,,,,,,,,2.99,4.66,,
Total,,,,,,,,,23.01,30.42,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.01,30.42,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
