"WILTEY KING EDWARD'S SCHOOL",,,,,,,,,,,,
Grid ref,SU948383,Long,-0.646411,Lat,51.136135,,,,,,,
Station no,172,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.77,1.58,,
February,,,,,,,,,1.25,0.55,,
March,,,,,,,,,3.96,5.07,,
April,,,,,,,,,3.21,2.06,,
May,,,,,,,,,2.27,2.49,,
June,,,,,,,,,1.25,3.22,,
July,,,,,,,,,2.52,2.68,,
August,,,,,,,,,4.44,2.22,,
September,,,,,,,,,1.86,2.79,,
October,,,,,,,,,2.36,7.69,,
November,,,,,,,,,1.15,0.81,,
December,,,,,,,,,3.76,5.01,,
Total,,,,,,,,,29.80,36.17,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.80,36.17,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
