SAWLEY,,,,,,,,,,,,,,,,,,,,
Grid ref,SK472315,Long,-1.3001019,Lat,52.878903,Elevation,100,ft.,,,,,,,,,,,,
Station no,RR6376,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,0.83,2.15,1.48,2.5,1.52,3.21,0.3,,,,,,,,,
February,,,,,1.73,1.88,2,1.59,2.18,1.92,2.12,,,,,,,,,
March,,,,,3.05,1.21,1.89,2.54,1.84,2.58,1.47,,,,,,,,,
April,,,,,1.79,0.78,0.66,2.37,1.25,1.92,0.96,,,,,,,,,
May,,,,,1.48,2.38,1.42,1.27,1.67,4.84,0.59,,,,,,,,,
June,,,,,1.53,1.84,3.13,1.87,0.3,0.99,1.24,,,,,,,,,
July,,,,,0.5,2.95,2.87,2.37,0.2,0.7,1.22,,,,,,,,,
August,,,,,0.94,3.94,5.1,2.57,3.41,1.28,1.67,,,,,,,,,
September,,,,,2.28,0.21,4.29,3.62,2.67,3.8,0.98,,,,,,,,,
October,,,,,1.86,5.81,2.53,2.63,2.62,-999,4.29,,,,,,,,,
November,,,,,1.88,1.76,2.39,-999,0.88,-999,-999,,,,,,,,,
December,,,,,1.67,0.81,1.83,-999,6.38,4.45,-999,,,,,,,,,
Total,,,,,19.54,25.72,29.59,25.57,24.92,27.99,18.41,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is the centre of Sawley. Altitudes match. ,,,,,,,,,,,,,,,,,,,,
"1861 census has John Windlem the observer, as a schoolmaster in Cross St National School in the district of Stapleford and parish of Sawley, none of which is obvious but gauge could be up to 3 miles N.",,,,,,,,,,,,,,,,,,,,
No other Derbyshire locations within 10km covering the same period.,,,,,,,,,,,,,,,,,,,,
