HELVELLYN (BROWN RIGG) - NEW GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY309148,Long,-3.069111,Lat,54.523755,Elevation,1400,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3632/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,27.8,17.91,22.57,5.79,16.09,19.82,19.52,19.41,2.28,5.02,8.68,20.42,19.15,8.73,17.33,15.28,18.54,11.09,10.09,11.41,8.56,6.08,8.72,11.23,6.06,22.74,10.78,7.09,14.92
February,,0.13,10.95,0.79,23.02,5.44,11.17,6.99,18.65,4.57,12.55,3.87,10.68,4.58,15.17,8.07,2.5,11.37,12.2,15.67,14.2,2.88,4.41,7.92,3.25,1.75,11.29,11.43,3.51,14.9
March,,7.61,8.98,7.39,3.11,7.45,4.14,9.89,8.76,13.96,5.4,9.62,4.04,1.32,8.55,7.38,9.6,13.16,3.39,8.81,10.27,6.8,1.59,7.76,3.09,4.46,9.46,2.43,10.85,3.31
April,,11.28,3.75,7.16,8.99,1.96,6.75,1.51,4.83,4.93,4.59,8.46,7.33,6.96,5.13,3.32,15.84,5.2,15.21,8.96,8.82,6.41,8.12,2.42,4.91,2.15,2.53,3.67,10.32,10.5
May,,5.92,4.91,9.59,1.04,2.04,3.74,8.87,1.83,2.34,6.61,10.84,8.89,4.63,8.84,2.11,5.52,4.75,5.97,4.35,4.73,5.54,5.54,8.05,10.53,5.77,5.19,10.11,2.13,4.36
June,,6.33,3.55,4.33,9.18,6.52,5.08,16.82,8.61,1.2,0.78,1.47,8.32,9.52,8.47,10.56,7.39,13.83,2.37,5.52,2.28,5.47,6.65,10.51,6.76,5.64,2.82,6.61,5.48,7.04
July,,11.46,10.09,2.93,5.14,12.74,5.85,16.12,14.44,9.27,2.91,8.71,6.86,4.51,7.96,7.9,6.45,8.21,3.24,8.77,5.97,6.63,15.25,10.84,4.14,8.92,8.16,6,10.32,10.27
August,,1.99,7.36,12.34,5.25,5.68,5.91,7.33,4.87,5.34,15.1,14.43,16.08,9.04,3.05,13.51,0.09,12.59,7.07,17.43,13.45,13.43,11.56,9,4.93,14.89,10.2,9.07,1.84,5.88
September,,12.14,2.38,16.25,18.75,12.3,10.6,7.24,3.24,10.77,2.69,14.72,12.59,11.55,12.62,18.64,11.65,14.36,4.23,27.46,19.5,9,18.98,20.13,7.63,8.35,11.68,14.69,1.57,7.54
October,,17.44,8.8,19.19,21.21,12.69,6.76,29.99,5.43,13.16,11.06,15.32,19.22,11.93,16.6,1.41,3.8,10.99,15.45,10.53,1.96,11.56,8.74,27.98,7.82,9.39,14.74,12.71,15.72,6.25
November,,9.84,4.68,3.37,11.63,13.82,2.41,22.01,21.56,14.24,9.89,3.69,7.7,18.2,1.08,22.27,24.18,11.22,22.56,10.05,25.38,5.64,21.13,29.16,6.38,4.21,5.05,2.61,16.71,25.23
December,,25.85,1.33,20.95,7.45,22.75,6.04,10.3,7.48,13,9.95,21.2,6.17,12.66,9.99,15.5,5.97,16.95,20.77,5.11,24.3,7.73,8.34,15.94,15.95,19.15,14.33,10.25,25.44,13.75
Total,,137.79,84.69,126.86,120.56,119.48,88.27,156.59,119.11,95.06,86.55,121.01,128.3,114.05,106.19,128,108.27,141.17,123.55,132.75,142.27,89.65,116.39,158.43,86.62,90.74,118.19,100.36,110.98,123.95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
