"APPLETON RESERVOIR (OLD GAUGE)",,,,,,,,,,,,
Grid ref,SJ601844,Long,-2.600920,Lat,53.354967,,,,,,,
Station no,304734,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.77,2.19,2.38,2.45,2.27,1.36,4.14,1.33,2.03,1.56,,
February,4.29,1.46,1.70,2.19,3.57,1.47,2.63,1.53,2.67,1.10,,
March,1.20,1.91,1.41,3.41,1.66,3.06,2.66,2.30,2.54,2.60,,
April,1.45,1.75,2.36,1.37,1.44,2.16,1.55,1.48,3.51,2.65,,
May,1.64,1.14,3.49,4.14,1.94,0.86,2.44,3.27,3.25,1.57,,
June,3.47,1.58,1.45,1.84,1.56,2.46,2.03,5.23,2.08,2.41,,
July,2.40,2.84,1.78,4.01,1.92,2.35,1.53,3.51,4.56,3.89,,
August,5.62,2.45,3.23,3.78,4.24,3.82,2.86,3.92,3.26,4.02,,
September,0.97,0.99,1.19,4.39,2.02,1.83,2.33,0.86,3.56,2.82,,
October,3.29,3.36,3.51,5.44,1.47,2.84,4.36,3.23,2.05,5.41,,
November,2.16,2.86,1.66,3.29,2.23,3.21,1.85,2.32,2.92,1.56,,
December,3.46,3.21,1.89,1.70,2.88,0.46,3.66,2.65,3.50,7.62,,
Total,33.72,25.74,26.05,38.01,27.20,25.88,32.04,31.63,35.93,37.21,,
Calc annual,33.72,25.74,26.05,38.01,27.20,25.88,32.04,31.63,35.93,37.21,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
