APPLETON-RES-OLD-GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ602845,Long,-2.5994299,Lat,53.355873,Elevation,120,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2734/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,2.24,1.71,4.18,2.8,3.27,4.85,2.39,2.65,3.16,4.69,4.18,2.07,3.45,2.35,7.07,2.26,1.02,2.42,3.07,1.16,2.55,2.28,4.1,1.9,3.09,2.78,4.39
February,,,,0.27,2.78,1.88,5.12,0.95,2.73,2.68,3.41,1.52,1.73,1.6,2.81,5.01,0.57,1.65,1.4,4.57,1.98,0.75,1.24,3.32,2.17,0.59,2.01,5.21,0.28,1.63
March,,,,1.85,1.05,1.81,1.47,0.85,1.58,2.74,2.52,2.78,1.09,0.82,0.82,0.92,5.4,1.07,2.24,1.27,4.54,1.94,1.73,2.14,2.18,1.07,2.55,1.47,1.41,1.83
April,,,,1.9,2.46,1.3,2.83,0.33,1.75,2.14,1.25,1.53,1.22,2.1,1.88,0.93,2.45,1.35,2.56,2.53,1.94,2.54,2.79,0.59,1.72,3.81,0.66,0.79,3.14,1.69
May,,,,1.83,1.19,1.02,2.1,3.56,1.23,1.2,1.9,3.76,2.64,2.73,4.06,1.81,2.03,1.53,4.2,1.13,2.91,2.33,1.86,2.7,2.4,1.09,1.41,2.86,2.62,2.48
June,,,,1.77,4.08,3.32,1.29,2.78,3.18,1.18,0.6,0.31,2.36,1.75,2.56,3.09,2.23,3.62,0.75,2.13,0.86,2.04,1.46,4.07,3.61,1.85,1.51,4.69,2.36,2.14
July,,,,2.02,0.95,3.65,1.69,3.46,7.42,3.49,1.76,3.74,2.21,3.25,2.57,3.2,1.94,2.11,1.36,3.33,2.73,1.56,4.9,3.53,0.57,5.96,3.64,4.32,3.39,3.81
August,,,,3.18,1.45,1.75,4.78,3.05,2.07,0.97,4.22,2.67,3.43,2.46,2.81,4.26,0.28,4.18,1.8,4.16,3.96,1.49,3.18,3.93,1.02,9.18,4.03,2.03,0.67,3.81
September,,,,2.33,5.26,4.27,1.08,1.56,0.68,3.38,0.89,2.23,3.54,4.55,1.72,4.58,2.64,1.65,1.12,4.65,2.71,2.88,2.87,3.34,2.64,2.79,6.12,3.15,0.21,3.4
October,,,3.96,3.94,4.14,2.61,2.15,5.46,2.37,3.73,3.51,4.26,3.08,4.02,4.66,0.89,0.74,2.38,3.27,2.04,0.92,4.07,1.56,5.71,2.19,2.18,3.07,2.61,2.63,4
November,,,1.15,1.96,4.62,3.12,2.05,3.98,4.72,6.92,2.54,0.45,2.11,5.83,0.37,5.12,2.98,2.22,4.99,4.69,7.87,2.66,2.67,5.16,1.5,1.18,1.68,1.56,3.94,4.9
December,,,0.53,4.8,3.54,3.14,1.5,3.51,2.21,2.79,0.98,3.76,1.46,2.66,2.66,3.65,2.97,2.9,4.14,2.8,4.82,3.09,1.03,4.53,3.73,2.93,2.54,4.04,5.33,3.22
Total,,,,28.09,33.23,32.05,28.86,32.76,34.79,33.61,26.23,30.17,29.56,35.95,28.99,36.91,26.58,31.73,30.09,34.32,37.66,28.42,26.45,41.57,26.01,36.73,31.12,35.82,28.76,37.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s records and matched gauge shown on OS maps. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jul 1940,  Feb 1942, Dec 1949, Aug 1951, Dec 1953, Nov 1954 and May 1960 reading amended without explanationalong with totals, left in this record",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
