LANGRAW HAWICK,,,,,,,,,,,,,,,,,,,,
Grid ref,NT583114,Long,-2.6598991,Lat,55.394768,Elevation,570,ft,,,,,,,,,,,,
Station no,RR4327,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,5.63,2.6,1.7,6.93,3.55,5.02,4.9,3.44,2.22,4.34,,,,,,,
February,,,,1.58,2.24,1.44,4.72,2.63,4.2,4.5,3.85,2.2,3.15,,,,,,,
March,,,,1.85,4.5,1.93,2.25,2.5,4.85,1.16,1.15,2.57,3.32,,,,,,,
April,,,,2.58,1.1,0.8,3.13,4.42,3.5,1.5,1.1,3.84,2.84,,,,,,,
May,,,3.45,2.2,2.14,6.28,1.75,2.08,2.02,3.6,2.92,1.26,3.88,,,,,,,
June,,,3.7,5.48,1.73,0.6,1.56,1.4,1.26,1.86,1.96,3.03,3.25,,,,,,,
July,,,3.77,0.99,1.62,1.78,5.15,6.28,0.64,0.62,1.64,3.93,4.15,,,,,,,
August,,,4.82,4.47,1.33,3.17,3,2.25,3.7,1.52,1.83,2.4,3.68,,,,,,,
September,,,2.35,4.2,3.17,0.72,5.3,2.09,4.1,5.1,2.8,2,4.03,,,,,,,
October,,,6.61,3.85,5.1,5.46,1.6,2.8,3.34,2.12,6.45,2,5.06,,,,,,,
November,,,0.92,2.94,3.55,3.04,3.84,0.4,3.32,2.4,2.65,3.15,6.25,,,,,,,
December,,,3.37,3.3,2.95,5.13,4.14,1.91,8.42,6.18,2.7,3.55,5.45,,,,,,,
Total,,,,39.07,32.03,32.05,43.37,32.31,44.37,35.46,32.49,32.15,49.4,,,,,,,
