KIRKNEWTON HEATHPOOL,,,,,,,,,,
Grid ref,NT895283,Long,-2.167973,Lat,55.548289,Elevation,420,ft,,
Station no,RR8703,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,2.35,1.27,3.86,1.52,,,,,
February,6.05,2.75,0.98,2.48,3.75,,,,,
March,2.69,2.59,1.22,1.88,1.97,,,,,
April,2.59,1.55,2.38,1.64,1.03,,,,,
May,1.41,3.23,3.24,1.84,2.71,,,,,
June,4.13,1,3.72,2.18,1.98,,,,,
July,1.83,3.15,2.52,5.62,1.39,,,,,
August,6.56,2.19,1.77,3.91,2.76,,,,,
September,1.04,0.66,1.15,2.79,0.86,,,,,
October,5.92,1.57,2.05,7.27,0.92,,,,,
November,4.32,4.3,2.01,2.02,2.7,,,,,
December,2.94,4.28,5.08,2.76,2.88,,,,,
Total,,29.62,27.39,38.25,24.47,,,,,
