"AYLSHAM (THE MOUNT)",,,,,,,,,,,,
Grid ref,TG189271,Long,1.245515,Lat,52.797026,,,,,,,
Station no,1434/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.23,2.88,1.59,2.00,1.95,3.51,2.04,2.29,3.42,3.95,,
February,2.77,1.06,1.96,2.46,2.22,1.91,2.67,4.13,0.16,1.76,,
March,3.01,2.64,1.51,2.41,1.73,0.87,1.95,1.58,1.66,1.26,,
April,3.13,1.50,2.00,0.46,0.48,0.89,0.70,0.99,1.48,0.77,,
May,1.84,1.00,1.14,1.83,2.65,0.55,1.13,3.19,0.42,0.33,,
June,1.08,0.72,2.87,2.21,2.16,2.20,2.20,3.52,1.38,1.35,,
July,1.76,1.95,1.95,3.21,0.70,2.75,3.32,3.40,2.45,2.49,,
August,2.95,1.76,2.13,4.21,0.75,4.62,2.60,3.43,1.70,2.99,,
September,2.10,4.16,1.26,2.11,1.68,1.31,3.97,2.30,0.15,4.18,,
October,0.80,2.21,2.98,2.25,4.48,2.97,1.27,2.18,1.92,3.96,,
November,3.44,4.26,1.67,4.06,0.62,1.56,1.85,0.98,2.13,3.27,,
December,1.53,3.11,1.17,2.09,1.73,2.15,2.59,2.77,3.22,4.34,,
Total,27.64,27.25,22.23,29.30,21.15,25.29,26.29,30.76,20.09,30.65,,
Calc annual,27.64,27.25,22.23,29.30,21.15,25.29,26.29,30.76,20.09,30.65,,
Difference,-0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
