MONKOKEHAMPTON-RECTORY,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS582054,Long,-4.01489,Lat,50.83092,Elevation,245,ft,,,,,,,,,,,,,
Station no,1853,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,7.31,3.35,3.95,2.67,4.1,3.62,5.29,6.63,6.23,1.37,5.6,3.54,4.63,2.65,3.94,1.15,4.61,5.27,,,
February,0.99,0.29,4.44,6.79,1.62,5.24,2.55,3.1,3.76,1.54,1.32,2.73,0.04,3.11,0.15,3.81,3.51,6,,,
March,4.22,3,3.62,1.15,2.02,0.83,0.66,4.03,3.28,0.44,2.32,1.89,2.64,2.65,2.29,1.06,2.63,3.93,,,
April,3.73,0.67,3.96,2.8,2.75,2.41,2.38,1.74,1.51,0.93,2.91,2.7,2.51,0.91,2.78,4.22,2.3,3.09,,,
May,1.55,1.24,1.31,2.62,3.27,3.38,1.44,1.17,1.22,3.16,2.05,3.18,3.36,1.87,1.53,1.42,0.69,2.1,,,
June,1.91,0.13,1.27,0.68,2.82,0,2.01,2.83,1.89,2.05,0.83,2.83,0.98,1.13,1.6,3.2,1.44,1.07,,,
July,3.93,1.2,3.08,2.21,3.77,3.19,1.57,6.22,2.43,1.37,1.97,4.93,3.26,2.36,0.37,0.65,7.6,1.51,,,
August,1.29,1.93,3.02,2.62,5.21,2.84,2.41,3.47,2.81,3.25,3.16,3.76,1.65,1.47,5.49,2.1,0.5,1.33,,,
September,1.89,1.34,2.84,3.56,4.54,4.03,1.81,7.46,1.45,0.81,4.59,2.23,5.41,1.64,2.96,5.07,2.5,2.33,,,
October,3.24,1.74,1.19,7.37,4.55,3.81,3.18,2.32,5.68,7.21,5.22,1.05,9.75,4.57,3.09,6.43,1.8,2.83,,,
November,3.09,2.4,2.23,3.44,3.09,3.39,7.82,3.89,5.4,9.33,4.74,6.13,2.71,1.4,1.85,5.64,4.64,2.27,,,
December,3.35,2.25,6.25,3.9,5.29,7.02,0.81,2.55,4.52,8.04,4.26,2.38,1.79,1.84,8.55,4.17,4.19,2.92,,,
Total,36.5,19.54,37.16,39.81,43.03,39.76,31.93,45.41,40.18,39.5,38.97,37.35,38.73,25.6,34.6,38.92,36.41,34.65,,,
,,,,,,,,,,,,,,,,,,,,,
1920-27 Records received late,,,,,,,,,,,,,,,,,,,,,
1938 Jan Station terminated Observer moved to Chulmleigh Ashreigney Rectory Stn No 1831/9,,,,,,,,,,,,,,,,,,,,,
