LAMBLEY-PUMPING-STATION,,,,,,,,,,
Grid ref,SK627451,Long,-1.067193,Lat,52.999561,Elevation,204,ft,,
Station no,2612/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,1.41,2.75,2.55,4.21
February,,,,,,,2.14,2.96,0.17,1.61
March,,,,,,,2.53,1.37,1.42,1.3
April,,,,,,,0.21,0.85,2.5,1
May,,,,,,,1.02,2.02,0.52,1.01
June,,,,,,,1.79,5.05,0.94,1.3
July,,,,,,,2.05,3.77,1.34,3.75
August,,,,,,,3.5,2.55,0.57,4.31
September,,,,,,,5.78,2.23,0.08,4.07
October,,,,,,,1.06,2.37,2.19,5.65
November,,,,,,,1.62,1.11,1.89,3.13
December,,,,,,,1.74,3.05,3.22,3.44
Total,,,,,,,24.85,30.08,17.39,34.78
