"LITHERLAND (HATTON HILL PARK)",,,,,,,,,,,,
Grid ref,SJ335976,Long,-3.003293,Lat,53.470916,,,,,,,
Station no,2806,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.15,3.08,1.09,2.15,2.09,3.61,1.78,3.21,2.32,5.13,,
February,2.42,0.90,0.94,3.25,1.90,0.24,2.00,4.33,0.17,1.56,,
March,4.54,1.61,1.00,1.70,1.71,1.14,1.99,1.62,2.18,1.95,,
April,1.06,2.16,2.10,0.60,1.79,2.60,0.33,0.66,2.60,1.10,,
May,2.80,1.90,1.82,2.20,3.13,0.99,1.19,3.03,1.69,2.42,,
June,0.93,1.92,1.39,3.06,3.50,1.47,2.41,4.79,2.74,1.07,,
July,1.58,1.05,1.95,3.38,0.70,4.19,4.18,3.29,3.12,3.53,,
August,3.80,2.21,3.00,3.54,1.65,9.91,4.01,3.50,0.53,4.47,,
September,2.42,3.21,3.28,2.47,2.18,2.41,4.90,3.67,0.30,3.74,,
October,0.71,3.44,1.22,5.24,2.18,2.49,2.89,3.00,3.08,3.44,,
November,7.15,2.32,2.86,5.75,1.22,1.25,1.54,2.04,4.81,5.81,,
December,4.08,2.86,1.31,3.09,2.75,2.28,1.79,3.42,5.41,2.74,,
Total,33.64,26.66,21.96,36.43,24.80,32.58,29.01,36.56,28.95,36.96,,
Calc annual,33.64,26.66,21.96,36.43,24.80,32.58,29.01,36.56,28.95,36.96,,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
