AMBLESIDE THE NURSERIES,,,,,,,,,,,,,,,,,,,,
Grid ref,NY377042,Long,-2.9618301,Lat,54.42939,Elevation,140,ft,,,,,,,,,,,,
Station no,RR2780,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,10.48,7.93,6.22,,,,,,,,
February,,,,,,,,,,14.19,3.32,8.95,,,,,,,,
March,,,,,,,,,,1.75,5.47,5.69,,,,,,,,
April,,,,,,,,,,4.34,2.54,4.26,,,,,,,,
May,,,,,,,,,,2.61,6.95,2.07,,,,,,,,
June,,,,,,,,,,2.5,2.07,2.07,,,,,,,,
July,,,,,,,,,,2.07,3.47,6.75,,,,,,,,
August,,,,,,,,,,2.6,2.2,6.8,,,,,,,,
September,,,,,,,,,,11.7,6.35,4.61,,,,,,,,
October,,,,,,,,,,4.68,14.01,9.42,,,,,,,,
November,,,,,,,,,,13.38,5.72,3.09,,,,,,,,
December,,,,,,,,,,10.9,3.52,10.42,,,,,,,,
Total,,,,,,,,,,81.2,63.55,70.35,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Observer: J Grier, nurseryman and gardener of 10 acres living on Lake Road in 1871, about 4 doors away from Gale How which is on the 6"" 1880s OS map",,,,,,,,,,,,,,,,,,,,
