PENWORTHAM HALL,,,,,,,,,,
Grid ref,SD531272,Long,-2.7125133,Lat,53.739062,Elevation,108,ft,,
Station no,RR8178,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,3.66,2.53,6.3,1.87,2.17,,
February,,,,1.19,2.49,3.81,3.44,1.08,,
March,,,,4.01,3.54,1.39,1.88,3.46,,
April,,,,3.9,0.92,2.3,3.34,1.46,,
May,,,,3.19,2.14,1.33,2.43,2.36,,
June,,,,2.8,1.31,2.52,2.61,2.73,,
July,,,,2.63,4.89,4.69,3.51,1.36,,
August,,,,3.31,2.5,5.12,4.84,5.78,,
September,,,,1.99,3.68,0.76,3,2.58,,
October,,,,2.04,2.09,1.11,6.4,7.34,,
November,,,,4.42,5.13,1.6,2.16,4.08,,
December,,,,2.59,5.02,6.29,3.15,1.96,,
Total,,,,35.73,36.24,37.22,38.63,36.36,,
