LISBURN PROSPECT HILL SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IJ269645,Long,-6.041099,Lat,54.513139,Elevation,201,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,1.06,2.29,3.02,2.03,0.86,1.36,,,6.4,,,,,2.57,,,2.86,2.36,,,,,,,,,,5.84,3.68,2.94,4.67,1.95,,2.53,,,4.78,5.78,2.91,3.18,2.63,2.71,3.71,5.42,6.53,5.69,4.71,3.68,4.81,3.26,6.43,3.45,5.05,1.78,4.25,3.17,3.23,2.18,2.91,1.41,3.63,5.16,4,4.44,3.07,,5.5,4.92,3.89,3.47,3.51,3.38,7.85,2.62,1.51,1.9,3.69,1.26,2.21,3.49,,,,,
February,,,,,,,2.5,2.85,1.62,1.85,2.37,3.55,,,3.16,,,,0.63,2.38,,,1.66,3.13,,,,,,,,,,3.6,5.38,2.92,2.72,1.87,,3.27,,,3.44,1.46,3.87,3.67,4.74,2.36,5.5,1.68,3,1.02,4.16,7.04,1.41,5.24,4.4,1.95,3.56,2.86,0.84,2.88,0.2,2.97,0.3,3.27,2.1,4.88,1.01,2.42,2.21,3.75,,1.51,1.16,3,2.56,1.64,1.67,1.74,3.2,3.3,0.98,0.99,3.3,2.81,,,,,
March,,,,,,,1.45,1.93,1.26,2.01,2.09,3.3,,,2.64,,,,2.86,3.23,,,0.7,0.84,,,,,,,,,,5.87,2.42,4.57,2.67,4.72,,5.54,,,5.01,3.04,3.97,1.2,2.49,4.25,1.87,4.66,4.82,2.9,2.05,2.62,2.03,1.86,1.42,2.9,3.39,0.41,1.85,1.19,,2.14,2.72,,2.09,4.16,1.09,3.71,3.97,5.1,,0.74,0.5,1.32,1.72,4.74,2.25,2.58,1.48,2.43,0.93,0.36,4.05,1.4,,,,,
April,,,,,,,1.22,4.76,0.88,3.74,3.75,1.47,,1.49,1.29,,,,1.55,,,,1.3,1.5,,,,,,,,,,2.05,2.87,3.02,2.72,3.49,,4.5,,,2.04,3.35,1.76,2.4,4.7,2.96,1.8,3.18,3.51,1.51,4.58,3.73,3.43,5.35,2.12,1.35,1.27,1.03,1.28,2.91,3.03,0.98,2.59,2.48,0.7,2.28,0.12,2.72,4.61,,1.68,2.32,2.37,1.66,0.85,2.78,1.48,2.14,3.39,1.27,1.75,1.51,0.62,,,,,,
May,,,,,,,0.88,2.17,3.74,3.48,,2.72,,1.86,2.64,,,,3.68,,,,3.94,1.36,,,,,,,,,,3.46,2.86,1.83,5.57,4.66,,1.79,,,1.65,3.89,1.98,1.43,6.9,5.86,5.53,1.73,4.03,2.31,1.97,2.26,6.33,5.18,3.34,1.3,1.56,2.25,1.65,3.85,2,2.29,4.08,1.66,1.24,0.95,2.24,1,0.76,2.91,2.66,3.59,1.6,3.88,1.28,3.26,1.79,1.84,1.44,2.62,1.28,1.39,3.61,2.53,,,,,
June,,,,,,,,1.65,3.21,4.65,,3.43,,,0.61,,,,2.48,,,,3.74,1.37,,,,,,,,,,1.84,2.04,4.59,1.64,5.5,,3.05,,,8.7,2.81,1.54,2.56,2.38,2.92,2.47,3.66,2.72,0.41,2.71,1.57,4.23,0.61,2.37,3.37,4.22,2.86,1.98,4.33,,,1.75,4.34,2.98,2.6,3.71,2.49,0.84,0.44,0.27,3.03,2.42,4.23,2.8,3.51,3.96,0.57,2.62,1.09,2.53,1.49,1.92,,,,,,
July,,,,,,,,4.05,0.54,5.43,,3.26,,,2.3,,,,,,,,5.32,2.84,,,,,,,,,,5.25,4.99,2.08,3.75,3.04,,5.29,,,4.84,2.01,2.83,4.8,3.96,1.73,5.78,0.6,2.82,3.72,4.17,3.49,5.07,5.12,4.05,3.32,2.41,3.09,3.57,,,2.72,2.02,,,,4,5.41,7.19,3.3,3.16,1.56,3.46,2.9,3.59,3.44,2.46,2.18,4.8,3.87,1.9,4.66,3.78,,,,,,
August,,,,,,,,4.75,3.5,4.59,,4.15,2.93,,1.97,,,,,,,,3.65,3.9,,,,,,,,,,6.63,7.63,7.68,4.51,4.62,,2.92,,,8.4,1.34,4.22,4.39,2.22,7.41,3.8,5.05,2.84,4.25,4.3,8.09,5.9,2.26,3.71,3.89,3.64,4.09,6.55,2.98,,1.87,4.02,,,2.68,2.91,1.6,1.64,3.25,4.85,5.63,3.08,0.98,4.62,0.49,3.3,3.79,5.59,3.15,5.69,2.96,2.99,,,,,,
September,,,,,,,,1.95,2.73,4.7,3.45,2.31,3.85,5.74,2.41,,,,1.46,2.91,,2.31,,2.27,,,,,,,,,,4.32,3.74,3.19,1.33,1.48,,2.79,,,1.76,5.34,1.8,1.11,1.77,2.76,8.17,4,3.41,1.54,2.78,4,5.91,4.11,2.97,5.69,2.32,0.92,3.74,2.25,2.61,1.12,3.23,4.16,3.88,0.99,2.86,2.34,2.26,1.61,3.63,1.95,5.34,2.4,6.76,2.71,3.47,1.81,5.31,2.29,1.55,2.04,5.02,,,,,,
October,,,,,,,4.66,2.72,2.43,1.13,,4.11,3.13,3.59,,,,,1.43,4.26,,4.12,,1.96,,,,,,,,,,7.94,1.3,1.82,5.38,5.53,,6.74,,,3.47,4.37,2.13,3.58,8.87,6.77,4.3,3.43,8.44,3.93,1.31,4.64,3,3.95,3.5,3.14,4.68,4.17,4.91,2.54,,2.7,4.26,4.02,2.77,3.73,5.57,5.52,5,5.18,3.07,2.85,3.86,4.15,1.62,1.82,3.08,5.4,3.12,0.67,3.25,1.58,4.91,,,,,,
