HUNTINGDON-BRAMPTON-SCHOOL,,,,,,,,,,,,,,,,,,,,
Grid ref,TL204707,Long,-0.23492359,Lat,52.321203,Elevation,40,ft,,,,,,,,,,,,
Station no,1151/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,0.71,1.05,0.82,1.11,2.8,2.85,2.59,3.7,,3.03,2.64,3.52,1.67,2.03,1.26,1.78,3.59,,
February,,0.31,1.19,0.56,1.52,1.85,2.69,0.49,0.48,1.24,1.83,1,0.66,1,1.4,1.4,2.13,1.06,,
March,,1.21,1.8,1.55,0.44,0.92,2.86,0.13,1.86,1.67,3.02,1.73,0.66,0.2,0.4,1.55,4.51,0.62,,
April,,2.84,0.57,1.61,3.03,1.36,2.05,0.14,1.8,1.17,1.05,0.54,0.85,1.64,0.63,1.05,1.83,1.7,,
May,,3.52,1.51,0.51,0.82,0.65,4.11,1.96,0.73,1.14,2.22,3.16,1.85,1.12,2.76,1.94,0.76,2.43,,
June,,0.52,1.41,0.93,2.22,4.17,1.26,0.5,1.96,0.57,1.37,0.84,2.47,1.33,2.08,3.52,2.03,4.45,,
July,,2.02,0.84,2.42,0.69,5.3,1.42,1.01,1.79,2.24,2.48,2.15,1.13,1.38,1.6,1.84,1.64,1.17,,
August,,2.6,0.96,1.75,1.03,0.44,1.31,1.73,2.78,0.11,3.8,2.19,1.7,1.91,1.75,4.05,0,3.43,,
September,,1.31,1.79,1.46,3.35,2.3,1.16,2.1,0.97,0.43,0.44,1.13,1.26,2.81,2.17,3.17,1.07,2.73,,
October,,2.38,1.63,1.41,2.03,1.34,2.11,2.14,3.51,1.68,1.47,2.42,1.47,2.79,3.14,1.07,0.22,2.8,,
November,,1.03,1.7,1.18,3.46,1.94,1.4,1.84,2.6,5.2,2.04,2.08,1.09,2.95,0.22,4.39,1.24,1.53,,
December,,0.35,0.48,3.56,1.96,1.3,2.25,3.44,1.41,1.44,0.72,1.76,0.94,0.75,2.75,2.27,2.11,1.8,,
Total,,18.8,14.93,17.76,21.66,24.37,25.47,18.07,23.59,,23.47,21.64,17.6,19.55,20.93,27.51,19.32,27.31,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1940 Jan estimated,,,,,,,,,,,,,,,,,,,,
