DUDLEY (PRIORY HALL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO950916,Long,-2.075121,Lat,52.522254,Elevation,490,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,4.9,2.85,4.22,3.33,4.67,2.3,1.4,2.05,1.96,4.43,1.51,0.62,2.53,2.12,1.03,1.24,2.32,3.14,0.93,1.77,3.16,5.44
February,,,,,,,,,0.75,2.19,2.41,1.01,1.41,1.97,1.74,2.43,1.71,1.38,0.56,4.03,2.46,0.5,1.24,2.2,1.86,0.45,2.23,3.89,0.3,1.97
March,,,,,,,,,1.43,1.65,2.59,1.62,0.9,0.46,0.94,0.8,4.97,1,1.34,0.83,4.59,1.9,1.28,2.08,3.21,1.03,2.25,1.14,2.09,1.75
April,,,,,,,,,1.56,3.04,1.46,1.57,1.09,1.44,1.03,1.93,1.88,1.87,2.03,1.98,2.17,2,2.59,0.39,1.39,1.48,0.19,0.74,3.23,1.02
May,,,,,,,,,1.16,2.77,3.37,3.36,3.24,0.64,3.55,3.47,2.38,1.73,2.15,2,2.93,3.8,1.91,2.4,4.34,0.61,1.42,2.12,0.83,1.29
June,,,,,,,,,1.57,0.66,1.33,1.16,1.73,1.4,2.86,2.36,1.67,3.58,0.29,2.6,1.33,1.62,2.26,3.22,2.58,1.96,1.54,4.53,0.93,3.06
July,,,,,,,,,4.03,2.75,2.89,1.83,1.23,2.47,2.04,1.83,4.37,1.8,1.4,2.28,1.05,1.3,3.83,3.65,0.57,2.77,4.81,4.31,1.59,3.32
August,,,,,,,,,1.88,0.27,4.45,2.61,1.66,1.78,1.81,6.25,1.2,4.1,1.93,2.99,4.92,3.24,2.65,5.24,1.35,4.99,4.29,2.25,2.68,3.64
September,,,,,,,,,1.08,0.95,0.71,1.34,2.51,2.37,1.61,3.85,1.36,3.23,1.1,4.85,2.86,1.26,2.49,1.87,1.37,3.08,3.99,4.48,0.25,5.76
October,,,,,,,,,3.56,3.22,2.66,2.47,1.84,2.71,3.71,0.75,0.46,2.66,5.66,0.78,0.81,3.87,1.91,3.15,1.54,1.8,1.53,2.19,3.01,5.33
November,,,,,,,,,5.09,5.87,2.86,1.21,1.8,4.12,0.55,5.64,1.69,1.7,2.84,4.47,6.79,2.32,1.72,5.04,2.75,0.63,2.13,1.89,4.02,3.88
December,,,,,,,,,1.41,1.93,1.67,2.66,1.16,1.57,2.47,2.76,2.47,4.23,1.31,1.84,2.17,2.63,1.24,2.23,2.15,2.66,1.6,2.84,4.02,3.01
Total,,,,,,,,,28.42,28.15,30.62,24.17,23.24,23.23,23.71,34.12,26.12,31.71,22.12,29.27,34.61,26.56,24.15,32.71,25.43,24.6,26.91,32.15,26.11,39.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gauge moved here in 1939, 0.55 miles NE from Priory Hall",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
