"DUDLEY, PRIORY HALL",,,,,,,,,,,,,,,,,,,,,
Grid ref,SO942910,Long,-2.0869012,Lat,52.516852,Elevation,584,ft,,,,,,,,,,,,,
Station no,2421,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,5.23,1.73,1.91,1.68,2.71,0.98,3.36,3.13,2.73,,
February,,,,,,,,,,,0.66,2.08,0.13,3.25,0.29,2.36,2.33,3.8,0.63,,
March,,,,,,,,,,,3.11,0.2,1.45,2.46,2.02,0.69,2.04,2.41,0.48,,
April,,,,,,,,,,,3.05,3.68,3.2,0.85,2.11,3.27,2.04,2.97,0.11,,
May,,,,,,,,,,,2.31,3.76,5.15,1.65,1.03,1.17,1.37,2.37,2.4,,
June,,,,,,,,,,,1.49,4.02,1.14,2.7,1.15,3.29,2.65,0.62,1.64,,
July,,,,,,,,,,,5.08,3.07,3.24,2.16,1.21,0.45,7.88,2.66,3.18,,
August,,,,,,,,,,,3.18,5,2.4,1.06,2.42,1.89,0.61,1.25,3.32,,
September,,,,,,,,,,,3.31,2.43,2.5,0.51,1.71,4.55,3.59,2.21,1.87,,
October,,,,,,,,,,,2.93,1.03,3.77,4.22,1.68,4.29,1.6,2.36,2.39,,
November,,,,,,,,,,,2.82,2.99,2.1,0.76,2.15,5.3,2.52,1.54,3.43,,
December,,,,,,,,,,,2.49,0.98,0.76,0.41,4.4,2.89,2.19,2.04,3.4,,
Total,,,,,,,,,,,35.66,30.97,27.75,21.71,22.88,31.13,32.18,27.36,25.58,,
,,,,,,,,,,,,,,,,,,,,,
1938 gauge moved 0.55 miles NE to Tipton Road.,,,,,,,,,,,,,,,,,,,,,
