CULLOMPTON-COURT,,,,,,,,,,,,,,,,,,,,
Grid ref,ST022077,Long,-3.38905,Lat,50.86087,Elevation,200,ft,,,,,,,,,,,,
Station no,1787/1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,3.29,3.5,2.08,2.81,0.78,4.81,7.36,5.24,6.66,2.4,4.29,4.74,8.29,3.16,3.28,,,,,
February,2.88,0.03,4.55,0.38,4.69,3.19,6.41,1.36,1.73,3.78,3.71,0.37,1.64,0.95,2.62,,,,,
March,1.62,2.58,3.55,2.68,1.28,4.03,5.29,0.24,1.34,2.93,3.4,3.22,1.26,0.24,0.98,,,,,
April,3.09,2.91,2.15,3.29,4.56,2.4,3.57,0.16,2.6,3,1.24,1.68,0.94,2.38,0.36,,,,,
May,3.3,3.7,2.24,1.53,2.06,0.67,2.3,2.46,0.64,1.35,1.76,5.69,2.29,1.18,3.84,,,,,
June,2.97,1.66,2.07,1.76,3.19,1.64,0.7,1.62,3.14,0.98,1.27,0.83,2.24,2.25,3.31,,,,,
July,4.29,2.71,3.2,1.84,0.57,6.26,2.54,3.14,6.4,3.52,1.35,1.55,2.72,2.14,2.71,,,,,
August,3.62,1.9,1.34,2.84,2.05,0.23,0.98,4.38,2.94,0.27,4.01,4.03,2.68,3.41,2,,,,,
September,1.32,5.41,1.25,2.87,3.96,2.92,2.68,1.48,1.08,2.07,1.06,2.76,3.57,2.58,2.38,,,,,
October,0.56,7.46,3.1,2.69,4.2,1.83,3.63,3.48,4.11,4.11,2.11,2.59,4.04,4.99,4.46,,,,,
November,5.5,2.66,0.86,1.49,5.6,3.71,2.35,6.36,7.77,8.06,2.66,1.11,3.03,6.25,1.15,,,,,
December,1.91,2.82,1.62,12.14,4.96,2.99,3.52,4.84,2.47,3.68,2.17,4.3,3.89,3.54,5.94,,,,,
Total,34.35,37.34,28.01,36.32,37.9,34.68,41.33,34.76,40.88,36.15,29.03,32.87,36.59,33.07,33.03,,,,,
,,,,,,,,,,,,,,,,,,,,
BR has no entry for this location in 1930,,,,,,,,,,,,,,,,,,,,
1932 Jan 1 Gauge moved 20ft E,,,,,,,,,,,,,,,,,,,,
1947 Feb 25 Observer unable to continue,,,,,,,,,,,,,,,,,,,,
