PENN-CHURCH-HILL,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO894957,Long,-2.1577875,Lat,52.559031,Elevation,500,ft.,,,,,,,,,,,,,
Station no,2318,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,2.05,2.57,2.65,4.3,1.5,5.21,1.52,,,,,,,,,
February,,,,,,3.34,1.87,2.16,1.89,0.56,0.56,2.06,,,,,,,,,
March,,,,,,0.82,0.48,2.26,1.87,0.09,2.62,0.11,,,,,,,,,
April,,,,,,2.34,2.06,1.64,1.07,0.52,2.54,3.63,,,,,,,,,
May,,,,,,3.15,3.14,1.3,0.35,1.97,2.29,4.28,,,,,,,,,
June,,,,,,0.12,1.54,3.99,2.7,1.7,1.44,3.78,,,,,,,,,
July,,,,,,3.2,2,4.99,1.32,2.05,4.92,3.44,,,,,,,,,
August,,,,,,2.51,2.27,4.17,2.74,1.96,3.07,5.23,,,,,,,,,
September,,,,,,3.5,0.98,3.81,0.92,0.64,3.42,,,,,,,,,,
October,,,,,,3.66,2.26,1.84,4.27,3.91,3.01,,,,,,,,,,
November,,,,,,1.72,5.68,3.56,3.4,6.29,2.92,,,,,,,,,,
December,,,,,,2.38,0.69,2.11,1.96,4.88,2.98,,,,,,,,,,
Total,,,,,,28.79,25.54,34.48,26.79,26.07,34.98,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NGR is on Church Hill with the stated altitude and stated relationship to the church.,,,,,,,,,,,,,,,,,,,,,
Gauge moved 0.75 miles NE in Sept 1931,,,,,,,,,,,,,,,,,,,,,
