PENN-ST-WEICHUL-(DEICHUL?),,,,,,,,,,
Grid ref,SO903966,Long,-2.1445387,Lat,52.567139,Elevation,510,ft.,,
Station no,2318,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,2.21,2.05,,,,,,,
February,,0.29,3.55,,,,,,,
March,,1.59,2.7,,,,,,,
April,,3.35,0.87,,,,,,,
May,,6.03,1.34,,,,,,,
June,,1.04,3.03,,,,,,,
July,,4.46,,,,,,,,
August,,2.6,,,,,,,,
September,,2.84,,,,,,,,
October,1.06,4.42,,,,,,,,
November,3.75,2.44,,,,,,,,
December,1.04,0.99,,,,,,,,
Total,,32.26,,,,,,,,
,,,,,,,,,,
NGR is based on the move of 0.75 miles NE from Church Hill. Altitude from OS map.,,,,,,,,,,
Cannot find St Weichul (spelling? BR Rainfall has Deichul),,,,,,,,,,
