BERRIEW-GLYNCOGEN,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ136030,Long,-3.2776166,Lat,52.61787,Elevation,415,ft.,,,,,,,,,,,,
Station no,4251/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,4.5,2.06,3.72,1.19,4.78,4.58,5.98,7.44,3.5,4.49,3.98,5.24,4.24,6.08,,,,,
February,,0.2,4.34,0.24,4.68,1.6,6.1,1.4,3,2.86,3.36,0.77,2.28,2.88,4.33,,,,,
March,,2.5,2.06,2.83,1.05,2.08,2.11,0.46,2.42,2.36,3.3,2.37,1.19,0.51,1.24,,,,,
April,,4.02,0.66,2.91,3.88,2.24,1.85,0.14,2.5,2.89,1.54,2.14,1.78,1.04,2,,,,,
May,,3.89,1.47,1.9,0.88,2.08,1.6,3.2,1.46,2.19,2.7,3.96,3.67,1.9,3.02,,,,,
June,,0.65,2.73,1.82,3.2,4.79,1.55,2.63,1.79,1.3,1.96,0.41,3.51,2.3,3.96,,,,,
July,,4.36,1.89,1.1,0.32,4.85,,3.45,6.98,3.3,2.53,3.01,2.14,2.18,1.7,,,,,
August,,1.48,0.69,2.59,1.26,0.92,1.61,3.96,1.43,0.34,4.27,2.59,3.39,2.55,3.55,,,,,
September,,2.7,1.14,2.3,5.82,3.71,1.46,1.01,0.68,2.17,1.09,2.19,5.39,3.31,2.2,,,,,
October,,4.94,4.4,3.67,5.88,3.18,3.33,6.36,2.03,4.88,3.23,2.4,3.81,5.23,5.15,,,,,
November,,2.95,1,2.07,4.67,3.86,1.78,5.66,6.55,9.25,2.45,0.66,2.82,5.51,0.57,,,,,
December,,1.57,1.35,5.28,2.93,4.03,2.75,3.37,2.23,2.45,1.88,4.45,1.96,3.26,4.07,,,,,
Total,,33.76,23.79,30.43,35.76,38.12,,37.62,38.51,37.49,32.8,28.93,37.18,34.91,37.87,,,,,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
NGR is from the 1940s record and is Glycogan Hall. Altitudes match.,,,,,,,,,,,,,,,,,,,,
